	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N2_finishedFinal\finishedElbowN2.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
81	0.09084	0.07447	0.00135	0.05119	0.50692	-0.00095
82	0.09086	0.07443	0.00160	0.05089	0.50686	-0.00053
83	0.09083	0.07440	0.00160	0.05081	0.50682	-0.00037
84	0.09067	0.07445	0.00145	0.05083	0.50674	-0.00047
85	0.09050	0.07460	0.00129	0.05091	0.50656	-0.00069
86	0.09052	0.07479	0.00115	0.05109	0.50641	-0.00092
87	0.09069	0.07488	0.00116	0.05134	0.50647	-0.00108
88	0.09078	0.07476	0.00141	0.05145	0.50674	-0.00105
89	0.09069	0.07453	0.00176	0.05133	0.50699	-0.00079
90	0.09055	0.07448	0.00187	0.05111	0.50710	-0.00048
91	0.09056	0.07477	0.00163	0.05108	0.50706	-0.00031
92	0.09067	0.07530	0.00128	0.05127	0.50698	-0.00028
93	0.09071	0.07589	0.00108	0.05154	0.50696	-0.00030
94	0.09060	0.07633	0.00105	0.05166	0.50704	-0.00031
95	0.09045	0.07643	0.00111	0.05155	0.50717	-0.00034
96	0.09039	0.07615	0.00118	0.05135	0.50731	-0.00039
97	0.09047	0.07575	0.00116	0.05129	0.50740	-0.00054
98	0.09059	0.07549	0.00107	0.05146	0.50745	-0.00082
99	0.09058	0.07536	0.00106	0.05170	0.50745	-0.00108
100	0.09040	0.07530	0.00117	0.05177	0.50737	-0.00110
101	0.09020	0.07535	0.00125	0.05162	0.50727	-0.00089
102	0.09015	0.07562	0.00118	0.05139	0.50723	-0.00069
103	0.09019	0.07607	0.00101	0.05127	0.50731	-0.00068
104	0.09021	0.07645	0.00090	0.05132	0.50741	-0.00080
105	0.09020	0.07653	0.00088	0.05150	0.50747	-0.00088
106	0.09028	0.07642	0.00086	0.05174	0.50749	-0.00092
107	0.09043	0.07637	0.00079	0.05203	0.50753	-0.00100
108	0.09053	0.07647	0.00075	0.05230	0.50756	-0.00114
109	0.09046	0.07657	0.00093	0.05239	0.50754	-0.00126
110	0.09026	0.07643	0.00135	0.05224	0.50746	-0.00131
111	0.09012	0.07612	0.00171	0.05210	0.50729	-0.00139
112	0.09015	0.07588	0.00178	0.05226	0.50711	-0.00154
113	0.09028	0.07579	0.00164	0.05267	0.50701	-0.00159
114	0.09037	0.07576	0.00152	0.05295	0.50703	-0.00140
115	0.09039	0.07578	0.00147	0.05287	0.50717	-0.00112
116	0.09042	0.07587	0.00146	0.05253	0.50740	-0.00100
117	0.09051	0.07601	0.00145	0.05221	0.50756	-0.00106
118	0.09060	0.07613	0.00148	0.05203	0.50752	-0.00115
119	0.09058	0.07612	0.00163	0.05191	0.50732	-0.00107
120	0.09041	0.07594	0.00188	0.05183	0.50714	-0.00086
121	0.09024	0.07564	0.00210	0.05184	0.50708	-0.00062
122	0.09015	0.07536	0.00222	0.05189	0.50713	-0.00043
123	0.09014	0.07534	0.00224	0.05187	0.50718	-0.00033
124	0.09013	0.07571	0.00218	0.05180	0.50718	-0.00032
125	0.09011	0.07621	0.00212	0.05175	0.50714	-0.00035
126	0.09005	0.07638	0.00218	0.05170	0.50707	-0.00038
127	0.08999	0.07615	0.00233	0.05168	0.50692	-0.00046
128	0.08999	0.07585	0.00235	0.05172	0.50669	-0.00062
129	0.09007	0.07583	0.00221	0.05184	0.50651	-0.00072
130	0.09013	0.07602	0.00212	0.05192	0.50643	-0.00067
131	0.09009	0.07603	0.00229	0.05181	0.50640	-0.00047
132	0.09005	0.07567	0.00265	0.05150	0.50640	-0.00021
133	0.09019	0.07517	0.00286	0.05126	0.50642	-0.00004
134	0.09050	0.07488	0.00266	0.05138	0.50641	-0.00006
135	0.09067	0.07498	0.00227	0.05179	0.50629	-0.00020
136	0.09051	0.07539	0.00212	0.05213	0.50607	-0.00030
137	0.09023	0.07583	0.00232	0.05220	0.50595	-0.00030
138	0.09011	0.07607	0.00262	0.05206	0.50607	-0.00028
139	0.09015	0.07605	0.00279	0.05189	0.50631	-0.00025
140	0.09021	0.07591	0.00281	0.05180	0.50645	-0.00020
141	0.09028	0.07580	0.00272	0.05191	0.50634	-0.00020
142	0.09039	0.07573	0.00259	0.05215	0.50610	-0.00035
143	0.09046	0.07566	0.00253	0.05229	0.50596	-0.00065
144	0.09042	0.07562	0.00268	0.05214	0.50603	-0.00089
145	0.09034	0.07566	0.00294	0.05183	0.50620	-0.00090
146	0.09038	0.07579	0.00302	0.05174	0.50629	-0.00069
147	0.09056	0.07588	0.00289	0.05194	0.50622	-0.00037
148	0.09072	0.07585	0.00276	0.05212	0.50610	-0.00012
149	0.09079	0.07582	0.00267	0.05199	0.50607	-0.00009
150	0.09081	0.07597	0.00248	0.05165	0.50619	-0.00031
151	0.09078	0.07616	0.00222	0.05133	0.50629	-0.00059
152	0.09074	0.07609	0.00212	0.05117	0.50625	-0.00066
153	0.09068	0.07576	0.00234	0.05117	0.50609	-0.00043
154	0.09063	0.07550	0.00268	0.05128	0.50594	-0.00006
155	0.09063	0.07550	0.00291	0.05138	0.50588	0.00020
156	0.09068	0.07565	0.00294	0.05142	0.50592	0.00028
157	0.09080	0.07578	0.00283	0.05146	0.50603	0.00019
158	0.09092	0.07586	0.00265	0.05166	0.50617	-0.00007
159	0.09100	0.07594	0.00245	0.05205	0.50631	-0.00048
160	0.09102	0.07600	0.00231	0.05246	0.50634	-0.00086
161	0.09096	0.07593	0.00235	0.05257	0.50619	-0.00095
162	0.09081	0.07558	0.00267	0.05219	0.50593	-0.00070
163	0.09066	0.07506	0.00315	0.05151	0.50576	-0.00029
164	0.09060	0.07476	0.00350	0.05098	0.50584	-0.00009
165	0.09063	0.07495	0.00357	0.05088	0.50620	-0.00023
166	0.09070	0.07544	0.00342	0.05122	0.50660	-0.00057
167	0.09080	0.07588	0.00311	0.05187	0.50671	-0.00095
168	0.09089	0.07597	0.00275	0.05253	0.50645	-0.00126
169	0.09085	0.07572	0.00254	0.05283	0.50607	-0.00137
170	0.09070	0.07547	0.00258	0.05268	0.50589	-0.00122
171	0.09055	0.07548	0.00277	0.05239	0.50601	-0.00095
172	0.09048	0.07567	0.00295	0.05226	0.50631	-0.00078
173	0.09045	0.07574	0.00311	0.05228	0.50660	-0.00079
174	0.09040	0.07559	0.00327	0.05226	0.50671	-0.00090
175	0.09037	0.07542	0.00343	0.05210	0.50663	-0.00096
176	0.09040	0.07546	0.00356	0.05195	0.50650	-0.00095
177	0.09047	0.07578	0.00364	0.05194	0.50648	-0.00089
178	0.09050	0.07613	0.00370	0.05202	0.50657	-0.00076
179	0.09047	0.07625	0.00369	0.05213	0.50664	-0.00060
180	0.09049	0.07607	0.00360	0.05222	0.50664	-0.00045
181	0.09066	0.07571	0.00356	0.05222	0.50662	-0.00028
182	0.09099	0.07548	0.00354	0.05217	0.50656	-0.00017
183	0.09139	0.07548	0.00337	0.05225	0.50639	-0.00025
184	0.09167	0.07557	0.00303	0.05245	0.50617	-0.00045
185	0.09167	0.07565	0.00274	0.05257	0.50610	-0.00061
186	0.09141	0.07574	0.00269	0.05247	0.50633	-0.00065
187	0.09111	0.07581	0.00284	0.05217	0.50670	-0.00057
188	0.09093	0.07587	0.00296	0.05190	0.50694	-0.00047
189	0.09091	0.07597	0.00292	0.05186	0.50686	-0.00045
190	0.09102	0.07610	0.00281	0.05201	0.50656	-0.00054
