	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
10	0.29648	0.12741	0.00518	0.19520	0.66881	0.00419	0.25141	0.12199	0.01084	0.16757	0.63266	0.00886	0.26130	0.09409	0.01613	0.15842	0.64601	0.01616	0.09213	0.07480	0.00610	0.05038	0.50570	0.00586
11	0.29647	0.12741	0.00499	0.19526	0.66885	0.00400	0.25142	0.12200	0.01075	0.16764	0.63273	0.00891	0.26131	0.09409	0.01601	0.15848	0.64608	0.01621	0.09212	0.07484	0.00627	0.05041	0.50581	0.00579
12	0.29647	0.12751	0.00490	0.19526	0.66883	0.00378	0.25143	0.12208	0.01075	0.16767	0.63273	0.00904	0.26132	0.09417	0.01593	0.15851	0.64608	0.01635	0.09211	0.07494	0.00649	0.05045	0.50580	0.00577
13	0.29650	0.12759	0.00494	0.19516	0.66890	0.00364	0.25148	0.12218	0.01096	0.16764	0.63280	0.00924	0.26136	0.09425	0.01607	0.15845	0.64614	0.01653	0.09214	0.07513	0.00659	0.05056	0.50575	0.00578
14	0.29651	0.12762	0.00499	0.19511	0.66912	0.00366	0.25151	0.12223	0.01121	0.16764	0.63299	0.00937	0.26136	0.09429	0.01633	0.15842	0.64632	0.01664	0.09215	0.07530	0.00651	0.05077	0.50576	0.00577
15	0.29641	0.12758	0.00506	0.19521	0.66934	0.00390	0.25140	0.12222	0.01117	0.16773	0.63316	0.00926	0.26124	0.09429	0.01638	0.15851	0.64649	0.01651	0.09203	0.07532	0.00642	0.05095	0.50585	0.00581
16	0.29624	0.12749	0.00519	0.19543	0.66936	0.00426	0.25116	0.12213	0.01079	0.16787	0.63316	0.00899	0.26103	0.09422	0.01608	0.15867	0.64651	0.01623	0.09182	0.07508	0.00643	0.05099	0.50592	0.00591
17	0.29610	0.12737	0.00535	0.19562	0.66914	0.00451	0.25096	0.12197	0.01041	0.16797	0.63296	0.00883	0.26088	0.09408	0.01573	0.15879	0.64633	0.01606	0.09167	0.07472	0.00649	0.05087	0.50592	0.00597
18	0.29610	0.12723	0.00544	0.19569	0.66878	0.00456	0.25095	0.12180	0.01034	0.16796	0.63266	0.00886	0.26089	0.09392	0.01562	0.15879	0.64606	0.01607	0.09169	0.07445	0.00649	0.05061	0.50586	0.00588
19	0.29626	0.12717	0.00542	0.19567	0.66846	0.00445	0.25113	0.12171	0.01053	0.16789	0.63240	0.00892	0.26107	0.09381	0.01574	0.15872	0.64582	0.01609	0.09188	0.07436	0.00636	0.05035	0.50577	0.00572
