Unnamed: 0_level_0,R_HEEL,R_HEEL,R_HEEL,L_HEEL,L_HEEL,L_HEEL
ITEM,X,Y,Z,X,Y,Z
3594,0.20504,0.69488,0.53369,0.09368,0.46452,0.09551
3595,0.21223,0.73869,0.55226,0.09675,0.46582,0.0989
3596,0.21909,0.78323,0.5725,0.09906,0.46716,0.10218
3597,0.22606,0.82865,0.59346,0.10062,0.46839,0.10485
3598,0.2332,0.87601,0.61525,0.1017,0.46939,0.10681
3599,0.24,0.92588,0.63918,0.10286,0.47004,0.10831
3600,0.24559,0.97746,0.66626,0.10462,0.47026,0.10953
3601,0.24929,1.02977,0.69621,0.10698,0.47021,0.11043
3602,0.25086,1.08286,0.72818,0.10958,0.47015,0.11106
3603,0.25037,1.13731,0.76211,0.11241,0.47026,0.11171
3604,0.24799,1.19294,0.79862,0.11584,0.47057,0.11273
3605,0.2441,1.24856,0.83761,0.11987,0.47115,0.11423
3606,0.2393,1.30323,0.87776,0.12367,0.47213,0.11613
3607,0.23416,1.35733,0.91768,0.12635,0.47346,0.11829
3608,0.22887,1.41122,0.95655,0.12776,0.47506,0.12059
3609,0.22305,1.46296,0.9928,0.12832,0.47694,0.12294
3610,0.21631,1.50837,1.023,0.12835,0.47907,0.12525
3611,0.20912,1.54425,1.04386,0.12791,0.48123,0.1274
3612,0.20275,1.5707,1.0552,0.12713,0.48322,0.12934
3613,0.19819,1.59001,1.0596,0.12615,0.48509,0.13106
3614,0.19568,1.60493,1.0601,0.12521,0.48703,0.13267
3615,0.19481,1.61746,1.05868,0.12456,0.4891,0.13424
3616,0.19466,1.62812,1.0562,0.12419,0.4912,0.13568
3617,0.19426,1.63667,1.05306,0.12401,0.4931,0.13689
3618,0.19366,1.6435,1.04987,0.12412,0.49472,0.13796
3619,0.19388,1.64981,1.04753,0.12458,0.49606,0.139
3620,0.19547,1.65677,1.04659,0.12549,0.49714,0.13995
3621,0.19807,1.66494,1.0467,0.12706,0.49796,0.1407
3622,0.20106,1.67395,1.04674,0.12925,0.49859,0.14115
3623,0.20434,1.68268,1.04562,0.13151,0.49907,0.14122
3624,0.20839,1.69003,1.0431,0.13347,0.49922,0.14084
3625,0.21343,1.6955,1.03944,0.1352,0.4988,0.13997
3626,0.21877,1.69902,1.03462,0.1366,0.49786,0.13864
3627,0.22305,1.70017,1.02779,0.13731,0.49663,0.13693
3628,0.22586,1.69842,1.01741,0.13716,0.4951,0.13501
3629,0.22866,1.69368,1.0023,0.13616,0.49304,0.13286
3630,0.23316,1.6862,0.98195,0.13451,0.49038,0.13023
3631,0.23951,1.67582,0.95606,0.13262,0.48723,0.12698
3632,0.24672,1.66191,0.92485,0.13077,0.48386,0.12325
3633,0.25438,1.6439,0.88956,0.12896,0.48051,0.11936
3634,0.26333,1.62149,0.85156,0.12707,0.47739,0.11561
3635,0.27428,1.59458,0.81128,0.12508,0.47458,0.11212
3636,0.28638,1.56317,0.76865,0.12316,0.47202,0.10892
3637,0.29791,1.52733,0.7242,0.12167,0.46959,0.10583
3638,0.30759,1.48713,0.67928,0.12063,0.46722,0.10259
3639,0.31487,1.44269,0.63556,0.11964,0.4649,0.09912
3640,0.32005,1.39451,0.59419,0.11845,0.46258,0.09546
3641,0.32393,1.3434,0.55541,0.11712,0.4602,0.09163
3642,0.32697,1.29012,0.51879,0.11551,0.45785,0.08762
3643,0.32902,1.23508,0.4839,0.11327,0.45568,0.08355
3644,0.32976,1.17843,0.45084,0.1105,0.45382,0.07942
3645,0.32932,1.12037,0.42031,0.10792,0.45223,0.07514
3646,0.32818,1.06132,0.39316,0.10618,0.45089,0.07073
3647,0.32645,1.00193,0.36996,0.10545,0.44981,0.06646
3648,0.32358,0.9429,0.35062,0.10554,0.44904,0.06264
3649,0.31897,0.88465,0.33447,0.10613,0.44844,0.05943
3650,0.31255,0.82726,0.32066,0.10675,0.44781,0.05685
3651,0.30478,0.77066,0.30851,0.10701,0.44708,0.05473
3652,0.29649,0.71462,0.29797,0.10701,0.4463,0.05276
3653,0.28861,0.65911,0.28974,0.10707,0.44557,0.05059
3654,0.28138,0.60503,0.2844,0.107,0.445,0.0482
3655,0.27408,0.55404,0.2813,0.10625,0.44459,0.04604
3656,0.26598,0.50715,0.27868,0.10464,0.44423,0.04446
3657,0.25715,0.4639,0.27515,0.10256,0.44384,0.04335
3658,0.24809,0.42306,0.27057,0.10063,0.44338,0.04245
3659,0.23915,0.3836,0.26541,0.09936,0.44277,0.04162
3660,0.23019,0.34522,0.26001,0.09882,0.44203,0.04072
3661,0.22069,0.3082,0.25451,0.09859,0.44141,0.03966
3662,0.21028,0.27306,0.24875,0.09814,0.4412,0.03853
3663,0.19908,0.24025,0.24213,0.09731,0.44156,0.03762
3664,0.18766,0.20985,0.23408,0.09632,0.44236,0.03727
3665,0.17684,0.18173,0.22453,0.09535,0.44317,0.03759
3666,0.16695,0.15582,0.21382,0.09441,0.4436,0.03837
3667,0.1576,0.13242,0.20222,0.09347,0.44372,0.03937
3668,0.14811,0.11195,0.1899,0.09259,0.44394,0.04056
3669,0.13825,0.09449,0.17701,0.09178,0.4445,0.04187
3670,0.1282,0.07961,0.16363,0.09085,0.44533,0.04309
3671,0.11835,0.06679,0.14981,0.08957,0.44621,0.04419
3672,0.10905,0.05596,0.13573,0.08794,0.44695,0.04549
3673,0.10051,0.04738,0.12189,0.08625,0.4475,0.04713
3674,0.09277,0.04102,0.10887,0.08482,0.4479,0.04883
3675,0.08576,0.03636,0.09688,0.08376,0.44821,0.0501
3676,0.07947,0.03294,0.08575,0.08291,0.44841,0.05068
3677,0.07401,0.03064,0.07536,0.08203,0.44845,0.05075
3678,0.06954,0.02956,0.06586,0.08099,0.44836,0.05073
3679,0.06606,0.02964,0.05748,0.07991,0.44816,0.05088
3680,0.06335,0.03049,0.0503,0.07894,0.44792,0.05117
3681,0.06113,0.03159,0.04424,0.07811,0.44779,0.05157
3682,0.05927,0.03245,0.03918,0.07733,0.44788,0.0522
3683,0.05778,0.03282,0.03502,0.07647,0.44811,0.05312
3684,0.05681,0.03264,0.03156,0.07546,0.4483,0.05407
3685,0.05641,0.032,0.0285,0.07436,0.44835,0.05469
3686,0.05642,0.03103,0.02565,0.0733,0.44829,0.05482
3687,0.05651,0.02992,0.023,0.07233,0.44816,0.05456
3688,0.05649,0.02883,0.02068,0.07145,0.44803,0.05402
3689,0.05637,0.0279,0.01874,0.07076,0.44786,0.05332
3690,0.05624,0.02722,0.01723,0.07043,0.44761,0.05266
3691,0.05615,0.02672,0.01626,0.07036,0.44735,0.05223
3692,0.05615,0.02625,0.01588,0.07023,0.44719,0.05203
3693,0.05628,0.0258,0.01591,0.06996,0.44699,0.05193
3694,0.05647,0.02554,0.01602,0.06994,0.44654,0.05172
3695,0.05663,0.02558,0.01596,0.07041,0.44587,0.05124
3696,0.05674,0.0258,0.01564,0.07124,0.44522,0.05057
3697,0.05678,0.02603,0.01518,0.07218,0.44472,0.04987
3698,0.05677,0.02616,0.01485,0.07306,0.44434,0.04918
3699,0.05675,0.02617,0.01477,0.07373,0.4441,0.0484
3700,0.05671,0.02614,0.01481,0.07409,0.44397,0.04756
3701,0.05664,0.02618,0.01468,0.07428,0.44382,0.04687
3702,0.05662,0.02633,0.01428,0.07447,0.4435,0.04636
3703,0.05672,0.02662,0.01376,0.07484,0.443,0.04584
3704,0.0569,0.02696,0.01328,0.07545,0.44252,0.04517
3705,0.05707,0.02718,0.01288,0.07605,0.44222,0.04439
3706,0.05721,0.02711,0.0126,0.07627,0.44202,0.0437
3707,0.05733,0.02676,0.01243,0.076,0.44165,0.04322
3708,0.05738,0.02625,0.01228,0.07544,0.4411,0.0429
3709,0.05731,0.02574,0.012,0.0748,0.44059,0.04253
3710,0.05719,0.02539,0.01159,0.07432,0.44023,0.04197
3711,0.05715,0.02526,0.01122,0.07416,0.43988,0.0413
3712,0.05722,0.02521,0.01105,0.07412,0.43955,0.04067
3713,0.05731,0.02509,0.01097,0.07394,0.43938,0.0401
3714,0.05735,0.02494,0.01074,0.07376,0.4394,0.0395
3715,0.05732,0.02489,0.01029,0.07391,0.43957,0.03879
3716,0.05719,0.02479,0.00992,0.07427,0.43985,0.03805
3717,0.05692,0.0244,0.00996,0.07436,0.44008,0.03746
3718,0.05651,0.02383,0.01033,0.074,0.44006,0.03717
3719,0.05612,0.02345,0.01065,0.07339,0.43975,0.03717
3720,0.05593,0.0234,0.01071,0.07285,0.4394,0.03732
3721,0.05596,0.02354,0.01056,0.07252,0.43923,0.03752
3722,0.05606,0.02369,0.01035,0.07226,0.43926,0.03774
3723,0.0561,0.02384,0.01009,0.0719,0.43941,0.03791
3724,0.05606,0.02398,0.00981,0.07146,0.43954,0.03794
3725,0.05598,0.02397,0.00969,0.07115,0.43953,0.03784
3726,0.05594,0.02373,0.00982,0.07106,0.4393,0.03779
3727,0.056,0.02341,0.01001,0.071,0.43896,0.03797
3728,0.05611,0.02313,0.01001,0.07069,0.43864,0.03839
3729,0.05615,0.02296,0.00982,0.07014,0.43846,0.03889
3730,0.05613,0.02291,0.00957,0.06963,0.4384,0.03929
3731,0.05616,0.02302,0.00932,0.06951,0.43837,0.03945
3732,0.05635,0.02317,0.00906,0.06985,0.43823,0.03945
3733,0.05658,0.02321,0.00886,0.07036,0.43797,0.03947
3734,0.0567,0.02313,0.00886,0.07061,0.43779,0.0397
3735,0.0566,0.02304,0.00901,0.07053,0.43784,0.04012
3736,0.05632,0.02305,0.00914,0.07029,0.43796,0.04061
3737,0.05602,0.02308,0.00913,0.07009,0.43792,0.04101
3738,0.05585,0.0231,0.00905,0.0701,0.43772,0.04123
3739,0.05583,0.02321,0.00902,0.07035,0.4376,0.04126
3740,0.05588,0.02337,0.0091,0.07066,0.43774,0.04125
3741,0.05593,0.02339,0.00925,0.0708,0.43802,0.04134
3742,0.056,0.02323,0.00938,0.07072,0.43821,0.04161
3743,0.05613,0.02303,0.00939,0.07058,0.43825,0.04198
3744,0.05632,0.02299,0.00926,0.07054,0.43831,0.04232
3745,0.05644,0.02322,0.00906,0.07059,0.43854,0.04253
3746,0.05644,0.02355,0.00895,0.07058,0.43889,0.04267
3747,0.05642,0.02379,0.00895,0.07043,0.43919,0.04283
3748,0.0565,0.02391,0.00899,0.07021,0.43935,0.04303
3749,0.05666,0.02393,0.00905,0.07005,0.43935,0.04324
3750,0.05678,0.02392,0.00913,0.06994,0.43931,0.04331
3751,0.05677,0.02394,0.00913,0.06976,0.43934,0.04312
3752,0.05667,0.02395,0.00899,0.06945,0.43937,0.04285
3753,0.05659,0.02388,0.0088,0.06915,0.43926,0.0428
3754,0.05663,0.02372,0.00873,0.06909,0.43902,0.04307
3755,0.05673,0.02356,0.00887,0.06923,0.43882,0.04346
3756,0.05678,0.02346,0.00916,0.0694,0.43881,0.04379
3757,0.05675,0.02354,0.00939,0.06958,0.43889,0.04399
3758,0.05671,0.02384,0.00934,0.06993,0.43892,0.04398
3759,0.05675,0.02421,0.00901,0.07039,0.43888,0.04375
3760,0.05691,0.02438,0.00865,0.07064,0.43891,0.0434
3761,0.05707,0.02425,0.00853,0.07065,0.43912,0.04319
3762,0.05708,0.02399,0.00868,0.07068,0.43942,0.04326
3763,0.0569,0.02383,0.00892,0.07099,0.43965,0.04351
3764,0.05663,0.02387,0.00908,0.07157,0.4397,0.0437
3765,0.05644,0.02397,0.00915,0.0721,0.43965,0.04374
3766,0.05648,0.02401,0.00917,0.07238,0.43963,0.04373
3767,0.05669,0.02403,0.00913,0.07249,0.43966,0.04377
3768,0.05693,0.02411,0.00903,0.0726,0.43972,0.0439
3769,0.05706,0.02422,0.00888,0.07277,0.43978,0.04407
3770,0.0571,0.02426,0.00873,0.07299,0.43985,0.04417
3771,0.05716,0.02414,0.00867,0.0732,0.43994,0.04414
3772,0.05722,0.02403,0.00869,0.07337,0.44002,0.04399
3773,0.05715,0.02423,0.00872,0.07363,0.44002,0.04381
3774,0.05691,0.02471,0.00869,0.07411,0.43994,0.04367
3775,0.05666,0.02514,0.00862,0.07472,0.43986,0.04359
3776,0.05656,0.02521,0.00863,0.07524,0.43987,0.04364
3777,0.05663,0.02499,0.00876,0.07548,0.44,0.04381
3778,0.05679,0.02474,0.00888,0.0754,0.44022,0.04399
3779,0.05693,0.02463,0.00891,0.07515,0.44044,0.04414
3780,0.05697,0.0247,0.00889,0.07496,0.44062,0.04421
3781,0.05694,0.02497,0.00878,0.07493,0.44079,0.04408
3782,0.05694,0.0253,0.00858,0.07495,0.44104,0.0437
3783,0.05701,0.02548,0.00841,0.07483,0.44134,0.04327
3784,0.05703,0.02554,0.00839,0.07463,0.44155,0.04305
3785,0.05691,0.02563,0.00855,0.07454,0.44151,0.04312
3786,0.05669,0.02568,0.00881,0.07457,0.44127,0.04338
3787,0.05655,0.02562,0.00897,0.0746,0.44103,0.04361
3788,0.05657,0.02546,0.00894,0.07459,0.44099,0.04362
3789,0.05669,0.02532,0.0089,0.07467,0.44104,0.04349
3790,0.05677,0.02527,0.00901,0.07482,0.44097,0.04346
3791,0.05678,0.02533,0.0092,0.07498,0.44074,0.04347
3792,0.05677,0.02544,0.00929,0.07509,0.44057,0.04341
3793,0.05676,0.02549,0.00929,0.07517,0.44059,0.04331
3794,0.0568,0.02546,0.00926,0.07523,0.44076,0.04328
3795,0.05689,0.02541,0.00918,0.07524,0.44094,0.04326
3796,0.057,0.02541,0.00912,0.07525,0.44108,0.04315
3797,0.05705,0.02544,0.00916,0.07532,0.4412,0.043
3798,0.05697,0.02541,0.00926,0.07548,0.44129,0.04289
3799,0.05683,0.02533,0.00928,0.07582,0.44127,0.04282
3800,0.05673,0.02537,0.00918,0.07638,0.44111,0.04267
3801,0.05671,0.02564,0.00905,0.07686,0.44091,0.04238
3802,0.05672,0.026,0.00905,0.07696,0.44075,0.04203
3803,0.05676,0.02618,0.0092,0.07672,0.44059,0.04172
3804,0.0569,0.02609,0.0093,0.07636,0.44049,0.04146
3805,0.0571,0.0259,0.00921,0.07609,0.4405,0.04119
3806,0.05721,0.02583,0.00906,0.07597,0.44056,0.04084
3807,0.05712,0.02587,0.00903,0.07591,0.44056,0.04048
3808,0.05686,0.02588,0.00915,0.07582,0.44043,0.04021
3809,0.05654,0.02575,0.00935,0.07565,0.44026,0.0401
3810,0.05635,0.02552,0.00954,0.07549,0.44022,0.04007
3811,0.05637,0.02536,0.00964,0.07545,0.44034,0.03998
3812,0.05651,0.02538,0.00963,0.07555,0.4405,0.0398
3813,0.05663,0.02556,0.00955,0.07559,0.44063,0.03961
3814,0.05667,0.0257,0.00941,0.07541,0.44068,0.0395
3815,0.05665,0.02568,0.00927,0.07513,0.44067,0.03941
3816,0.05658,0.02556,0.00917,0.07498,0.44059,0.03928
3817,0.05647,0.02551,0.00914,0.07504,0.44043,0.03909
3818,0.0563,0.02561,0.00921,0.07522,0.44024,0.03894
3819,0.0561,0.02573,0.0094,0.07542,0.44012,0.03887
3820,0.05587,0.02579,0.00963,0.07559,0.44017,0.03888
3821,0.05569,0.02582,0.00984,0.07566,0.44028,0.03898
3822,0.05566,0.02592,0.01,0.07559,0.4403,0.03918
3823,0.05581,0.02612,0.0101,0.07542,0.44021,0.03941
3824,0.05611,0.02636,0.01004,0.07526,0.4402,0.03949
3825,0.0565,0.02656,0.00974,0.07517,0.44036,0.03928
3826,0.05694,0.02662,0.00932,0.07507,0.44058,0.03897
3827,0.05737,0.02649,0.00907,0.07488,0.44068,0.03885
3828,0.05776,0.02621,0.00906,0.0746,0.44066,0.03893
3829,0.05805,0.02601,0.0091,0.0743,0.44067,0.039
3830,0.0582,0.02597,0.00912,0.07396,0.44076,0.03897
3831,0.05821,0.02601,0.00926,0.07361,0.44084,0.03901
3832,0.05808,0.02607,0.00953,0.07338,0.44087,0.03913
3833,0.05791,0.02616,0.00971,0.07328,0.44093,0.03922
3834,0.05772,0.02633,0.00958,0.07318,0.44103,0.03916
3835,0.05753,0.02655,0.00924,0.07306,0.44107,0.03898
3836,0.0574,0.02673,0.00895,0.07303,0.44094,0.03888
3837,0.05738,0.02678,0.00891,0.07319,0.44065,0.03903
3838,0.05752,0.02672,0.00902,0.07347,0.44035,0.03938
3839,0.05777,0.02662,0.0091,0.07367,0.4402,0.03966
3840,0.05804,0.02653,0.00907,0.07374,0.44023,0.03967
3841,0.05819,0.02657,0.00899,0.07383,0.44033,0.03946
3842,0.05818,0.0267,0.00895,0.07399,0.44038,0.03922
3843,0.058,0.02672,0.00898,0.07401,0.44033,0.03919
3844,0.05774,0.02645,0.00912,0.07382,0.44022,0.03946
3845,0.05748,0.02594,0.00937,0.07363,0.44008,0.03996
3846,0.05727,0.0254,0.00972,0.07367,0.43994,0.04043
3847,0.0571,0.02504,0.01003,0.07393,0.43988,0.04066
3848,0.05693,0.02488,0.01013,0.07417,0.43993,0.04059
3849,0.05679,0.02471,0.01003,0.07426,0.43997,0.04041
3850,0.05674,0.02445,0.00992,0.0742,0.43987,0.04036
3851,0.05678,0.02421,0.00993,0.07404,0.43962,0.0405
3852,0.05687,0.02416,0.01001,0.07392,0.43934,0.0407
3853,0.05693,0.02434,0.01008,0.07405,0.43906,0.04083
3854,0.0569,0.02462,0.01007,0.07447,0.43878,0.04095
3855,0.05688,0.02475,0.00997,0.07503,0.43848,0.0411
3856,0.05692,0.02457,0.0099,0.0755,0.4382,0.04125
3857,0.05699,0.0242,0.01003,0.0758,0.43791,0.04139
3858,0.05701,0.0239,0.0103,0.07605,0.4376,0.04151
3859,0.057,0.02383,0.01045,0.07636,0.43735,0.0416
3860,0.05699,0.02398,0.01033,0.07687,0.43723,0.04162
3861,0.05695,0.0243,0.01008,0.07766,0.43719,0.04152
3862,0.05684,0.02463,0.00991,0.07853,0.43717,0.04138
3863,0.05671,0.02481,0.0099,0.07902,0.43714,0.0413
3864,0.0566,0.02482,0.00997,0.07897,0.43707,0.04131
3865,0.05656,0.02474,0.01002,0.07866,0.43696,0.04138
3866,0.05667,0.02459,0.01002,0.07845,0.43686,0.04152
3867,0.05693,0.02442,0.00995,0.07839,0.43684,0.04177
3868,0.05723,0.0243,0.00984,0.07837,0.43688,0.04211
3869,0.05747,0.02429,0.00976,0.07827,0.43685,0.04241
3870,0.05758,0.0243,0.00982,0.07802,0.43673,0.04254
3871,0.05755,0.02421,0.00999,0.07766,0.43657,0.04256
3872,0.05737,0.02403,0.01013,0.07738,0.43646,0.04263
3873,0.05711,0.02393,0.01013,0.07733,0.43645,0.04277
3874,0.05688,0.02403,0.00996,0.07745,0.43652,0.04292
3875,0.05678,0.02423,0.00979,0.07755,0.43662,0.04311
3876,0.05679,0.02436,0.00977,0.07752,0.43666,0.04344
3877,0.05686,0.02445,0.00981,0.07739,0.43658,0.04383
3878,0.057,0.02458,0.00968,0.07728,0.43647,0.04415
3879,0.05719,0.02471,0.00942,0.0773,0.43643,0.04437
3880,0.05738,0.02476,0.00925,0.0774,0.4365,0.04457
3881,0.05751,0.02479,0.00926,0.07753,0.43661,0.04478
3882,0.05749,0.025,0.00938,0.07781,0.43671,0.04496
3883,0.05729,0.02542,0.00947,0.07828,0.43681,0.04514
3884,0.057,0.02589,0.00953,0.07868,0.43691,0.0454
3885,0.05675,0.02619,0.00957,0.07872,0.43702,0.04572
