Unnamed: 0_level_0,Neck_Joint_Position,Neck_Joint_Position,Neck_Joint_Position,L_ANKLE_POSITION,L_ANKLE_POSITION,L_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,R_ANKLE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,L_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,R_KNEE_POSITION,L_HIP_POSITION,L_HIP_POSITION,L_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,R_HIP_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,L_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,R_SHOULDER_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,L_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,R_ELBOW_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,L_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION,R_WRIST_POSITION
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
3074,0.17058,0.10829,1.53754,0.09671,0.51769,0.13091,0.06193,0.02927,0.08138,0.09935,0.46575,0.55512,0.14901,0.07126,0.49503,0.07242,0.23062,0.93094,0.20247,0.09312,0.93094,0.01183,0.2029,1.48693,0.27041,-0.02485,1.46716,-0.0391,0.37028,1.24478,0.39852,0.12427,1.24751,0.0768,0.45235,1.46523,0.30439,0.23124,1.47296
3075,0.17057,0.11022,1.53725,0.09699,0.51885,0.132,0.06162,0.02942,0.08131,0.09926,0.46913,0.55647,0.14834,0.07113,0.49506,0.07206,0.23193,0.93097,0.20197,0.09428,0.93089,0.01194,0.20457,1.48749,0.27031,-0.02367,1.46687,-0.03911,0.37218,1.24553,0.39932,0.12615,1.24823,0.07681,0.4541,1.46602,0.30406,0.23204,1.47372
3076,0.17047,0.11216,1.53695,0.09691,0.52027,0.13309,0.06125,0.0296,0.08128,0.09909,0.47257,0.5578,0.14763,0.07113,0.49511,0.07165,0.23343,0.93105,0.20137,0.09561,0.93085,0.01229,0.2063,1.48786,0.27006,-0.02261,1.46639,-0.03892,0.37419,1.24612,0.4002,0.12797,1.24894,0.07661,0.45576,1.46695,0.304,0.23256,1.47464
3077,0.17039,0.11375,1.5368,0.09662,0.52196,0.13428,0.06091,0.02972,0.08124,0.09893,0.47609,0.55919,0.14693,0.07134,0.49515,0.07116,0.23503,0.93117,0.20071,0.09705,0.93081,0.01243,0.20791,1.48806,0.26975,-0.02165,1.46604,-0.03874,0.37629,1.24666,0.40081,0.1297,1.24968,0.07629,0.45725,1.46798,0.30408,0.23342,1.47555
3078,0.17026,0.11505,1.53683,0.09633,0.52378,0.1355,0.06067,0.02979,0.08117,0.09878,0.47961,0.56059,0.1462,0.07172,0.49515,0.07071,0.23667,0.93132,0.20014,0.09857,0.93072,0.01223,0.20936,1.4882,0.26952,-0.02064,1.46592,-0.03877,0.37852,1.24731,0.40084,0.1316,1.25034,0.07607,0.4587,1.469,0.30401,0.23497,1.47632
3079,0.17001,0.1163,1.53695,0.09616,0.52553,0.13665,0.06053,0.02977,0.08109,0.09854,0.48306,0.56191,0.14541,0.0722,0.49515,0.07041,0.23838,0.9315,0.19971,0.10017,0.93061,0.01191,0.21069,1.48839,0.26965,-0.01943,1.46587,-0.03905,0.38082,1.24817,0.40045,0.13391,1.25076,0.07597,0.46038,1.47,0.30365,0.23699,1.4769
3080,0.16964,0.11757,1.53709,0.0961,0.52715,0.13767,0.06049,0.02966,0.08101,0.09822,0.48643,0.56311,0.14455,0.0727,0.49518,0.07022,0.24017,0.93165,0.19934,0.10179,0.9305,0.01154,0.21201,1.48873,0.27034,-0.01798,1.46578,-0.03945,0.38314,1.24922,0.39994,0.13668,1.25089,0.07584,0.46245,1.47099,0.30322,0.23904,1.47738
3081,0.16933,0.11885,1.53723,0.09607,0.52872,0.13866,0.06052,0.02964,0.08091,0.09796,0.48984,0.56427,0.14366,0.07312,0.49521,0.06996,0.24201,0.93177,0.19889,0.10346,0.9304,0.01107,0.21355,1.48924,0.27139,-0.01619,1.4657,-0.03986,0.3856,1.25038,0.39948,0.13977,1.25085,0.0757,0.46485,1.47204,0.30295,0.24095,1.47795
3082,0.16913,0.12031,1.53734,0.09596,0.53032,0.13965,0.06051,0.02988,0.08082,0.09785,0.49333,0.56543,0.14286,0.07348,0.49526,0.06948,0.244,0.93187,0.1981,0.10517,0.93035,0.01054,0.21546,1.48982,0.27212,-0.01397,1.46566,-0.04018,0.38835,1.25152,0.39905,0.14294,1.25081,0.07571,0.4673,1.47311,0.30288,0.2427,1.47869
3083,0.16896,0.12215,1.53732,0.0957,0.53185,0.14058,0.06039,0.03028,0.08076,0.09781,0.49687,0.56652,0.14221,0.07382,0.49532,0.06874,0.24624,0.93203,0.19678,0.10687,0.93039,0.01,0.21767,1.49026,0.27188,-0.01139,1.46556,-0.04034,0.39138,1.25249,0.39862,0.14592,1.25089,0.07584,0.46962,1.47417,0.30294,0.24425,1.4796
