Unnamed: 0_level_0,FullBody_CoG_pos,FullBody_CoG_pos,FullBody_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,L_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,R_Hand_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,L_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,R_Forearm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,L_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,R_UpperArm_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_Shadow_CoG_pos,Head_CoG_pos,Head_CoG_pos,Head_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Trunk_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,Pelvis_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,L_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,R_Thigh_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,L_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,R_Shank_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,L_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,R_Foot_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,L_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos,R_Foot_Shadow_CoG_pos
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
924,0.16109,0.33125,0.98157,0.15509,0.64578,1.46073,0.33357,0.4767,1.45129,0.06479,0.56015,1.28692,0.3794,0.38272,1.26895,0.01276,0.44641,1.29147,0.36961,0.28527,1.27573,0.20353,0.36662,1.61375,0.19196,0.31945,1.59816,0.15904,0.30173,1.23326,0.14608,0.27237,0.93585,0.06409,0.4192,0.74861,0.24594,0.24404,0.72732,0.00988,0.56692,0.35089,0.2569,0.16393,0.29909,-0.03411,0.6316,0.05042,0.27521,0.13052,0.01833,-0.04603,0.63892,0.04939,0.28903,0.13233,0.01813
925,0.16047,0.33273,0.9803,0.15394,0.64278,1.46138,0.33359,0.47814,1.44912,0.06391,0.55986,1.2861,0.37841,0.38285,1.26721,0.01175,0.44813,1.29031,0.36804,0.28504,1.27451,0.2033,0.36807,1.6125,0.19165,0.3209,1.59699,0.15827,0.30386,1.23219,0.14542,0.27454,0.93488,0.06341,0.42016,0.7465,0.24558,0.24586,0.7266,0.00929,0.5661,0.34749,0.25683,0.16511,0.29868,-0.03372,0.63236,0.04773,0.27506,0.13051,0.01819,-0.04558,0.63979,0.04685,0.28889,0.13229,0.01797
926,0.15978,0.33436,0.97906,0.15234,0.63841,1.4623,0.33348,0.48082,1.44636,0.06263,0.55888,1.2853,0.37738,0.38388,1.2651,0.01046,0.4497,1.28941,0.36635,0.28538,1.2729,0.2028,0.36997,1.61125,0.1911,0.32285,1.59559,0.15743,0.30606,1.23118,0.14475,0.27689,0.93393,0.0628,0.42133,0.74449,0.24512,0.24798,0.72576,0.00887,0.565,0.34422,0.25669,0.16663,0.29822,-0.03361,0.63223,0.04529,0.27475,0.13054,0.01811,-0.04544,0.63974,0.04461,0.28857,0.1323,0.01786
927,0.15909,0.33612,0.97777,0.1507,0.63305,1.46327,0.33357,0.48413,1.4429,0.06113,0.55758,1.28442,0.37635,0.38542,1.26234,0.00916,0.45131,1.28847,0.36468,0.28623,1.27065,0.20213,0.37227,1.60997,0.19043,0.32523,1.59409,0.15652,0.30829,1.23018,0.1442,0.27936,0.93292,0.06238,0.4227,0.7425,0.24469,0.25039,0.72482,0.00847,0.5638,0.34111,0.25647,0.16846,0.29774,-0.03391,0.63122,0.04295,0.27425,0.13054,0.01807,-0.04573,0.63876,0.04245,0.28808,0.13229,0.01777
928,0.15838,0.33796,0.9764,0.14911,0.62737,1.46395,0.33395,0.48731,1.43901,0.05983,0.55628,1.28317,0.37533,0.38683,1.25909,0.00816,0.45306,1.28696,0.36314,0.2873,1.26798,0.20137,0.37485,1.60872,0.18962,0.32786,1.5927,0.15542,0.3105,1.22908,0.1437,0.28187,0.93181,0.0621,0.42427,0.74052,0.24435,0.25303,0.72383,0.00802,0.56262,0.3382,0.25623,0.17048,0.29726,-0.03471,0.62936,0.04063,0.27368,0.13051,0.01805,-0.04654,0.63689,0.04026,0.28751,0.13225,0.0177
929,0.15761,0.33988,0.97495,0.14728,0.62201,1.46409,0.33446,0.49012,1.43493,0.05878,0.55494,1.2814,0.37426,0.38782,1.25569,0.00743,0.45478,1.28487,0.36164,0.28832,1.26521,0.20048,0.37759,1.60748,0.18859,0.33063,1.59148,0.15411,0.31278,1.22783,0.14316,0.28439,0.93059,0.06186,0.42595,0.73858,0.24406,0.25589,0.7228,0.0076,0.56148,0.3355,0.25602,0.17263,0.29677,-0.0357,0.62694,0.03844,0.27323,0.13062,0.01815,-0.04755,0.63444,0.03812,0.28707,0.13232,0.01779
930,0.15679,0.34194,0.97341,0.14497,0.61751,1.46371,0.33503,0.49289,1.43064,0.0576,0.55342,1.27942,0.37303,0.38856,1.25221,0.00656,0.45606,1.28279,0.35994,0.28924,1.2625,0.19924,0.38046,1.6062,0.1872,0.3335,1.59032,0.15274,0.31534,1.22639,0.14257,0.28692,0.92926,0.06161,0.42771,0.7367,0.24382,0.25898,0.72166,0.00721,0.56049,0.33295,0.25586,0.17497,0.29619,-0.03645,0.62461,0.03648,0.27299,0.13101,0.01836,-0.04833,0.63207,0.03615,0.28683,0.13263,0.01802
931,0.15592,0.34422,0.97183,0.14234,0.61431,1.463,0.33548,0.49587,1.42604,0.05595,0.5518,1.27771,0.37164,0.38923,1.24862,0.00522,0.45681,1.28118,0.35787,0.29013,1.25987,0.19752,0.38347,1.60485,0.18541,0.33647,1.58916,0.15141,0.31833,1.22487,0.142,0.28947,0.92785,0.06131,0.42956,0.73489,0.24358,0.26222,0.72033,0.00688,0.55991,0.33056,0.25573,0.17754,0.29545,-0.03674,0.62299,0.03472,0.27284,0.1316,0.01844,-0.04862,0.63043,0.03435,0.2867,0.13313,0.01811
932,0.15497,0.34673,0.9703,0.1397,0.61241,1.46217,0.33549,0.4988,1.42121,0.05386,0.55046,1.27642,0.37025,0.38985,1.24487,0.00343,0.45749,1.27984,0.3555,0.29116,1.25732,0.19535,0.38658,1.60351,0.18325,0.33948,1.58809,0.15007,0.32173,1.22344,0.14138,0.29211,0.92646,0.06087,0.43152,0.73321,0.24328,0.26556,0.71887,0.00675,0.55987,0.32835,0.25562,0.18021,0.29459,-0.0365,0.62219,0.03306,0.27267,0.13217,0.01826,-0.04839,0.62962,0.03267,0.28653,0.1336,0.01791
933,0.15392,0.34939,0.9689,0.13699,0.61132,1.46153,0.33493,0.50142,1.41628,0.05152,0.54984,1.27549,0.36906,0.39051,1.24101,0.00144,0.45874,1.27837,0.35312,0.29252,1.25479,0.19277,0.38963,1.60227,0.18075,0.3424,1.5872,0.14859,0.32535,1.22222,0.1407,0.29487,0.92519,0.06029,0.43354,0.73174,0.24294,0.26893,0.71746,0.00699,0.56021,0.32633,0.25554,0.18274,0.29379,-0.03575,0.62199,0.03145,0.27247,0.13253,0.01801,-0.04766,0.62939,0.03109,0.28634,0.1339,0.01766
934,0.15284,0.3521,0.96764,0.13379,0.61062,1.46125,0.33415,0.50408,1.41118,0.04898,0.54996,1.27476,0.36801,0.39148,1.23696,-0.0007,0.46058,1.27673,0.351,0.29437,1.25209,0.18981,0.39254,1.60118,0.17794,0.34518,1.58642,0.14701,0.32895,1.22118,0.14002,0.29776,0.92409,0.0596,0.43554,0.73041,0.24268,0.27232,0.71623,0.00757,0.56072,0.32435,0.25555,0.18501,0.29318,-0.03453,0.62228,0.02981,0.27234,0.13267,0.01795,-0.04648,0.62962,0.02954,0.28621,0.13402,0.01763
935,0.15175,0.35479,0.96642,0.12982,0.61025,1.4609,0.33379,0.50742,1.40556,0.04604,0.55021,1.27388,0.36675,0.39282,1.23251,-0.00313,0.46231,1.27509,0.34902,0.29646,1.24909,0.18647,0.39538,1.60023,0.17483,0.34793,1.58556,0.14544,0.33241,1.22019,0.13943,0.30079,0.92308,0.05884,0.43748,0.72905,0.24252,0.27577,0.71519,0.00834,0.56136,0.32221,0.25562,0.18707,0.29277,-0.03296,0.62327,0.02805,0.2723,0.13274,0.01814,-0.04499,0.63049,0.02792,0.28617,0.13409,0.01788
936,0.15061,0.35747,0.96518,0.1251,0.61009,1.45967,0.33419,0.51178,1.39902,0.04244,0.54979,1.27237,0.36494,0.3943,1.2275,-0.0061,0.46315,1.27341,0.3469,0.29835,1.24592,0.18281,0.39824,1.59938,0.17142,0.35078,1.58455,0.14389,0.33581,1.21916,0.13893,0.30395,0.92212,0.05802,0.43936,0.72761,0.24238,0.27925,0.71433,0.00916,0.56223,0.31992,0.25562,0.18901,0.29248,-0.03119,0.62505,0.02615,0.2723,0.13295,0.01842,-0.04331,0.63211,0.02616,0.28618,0.13428,0.01819
937,0.14935,0.36014,0.96393,0.11991,0.60965,1.45733,0.33497,0.51713,1.39139,0.03806,0.54834,1.27012,0.36267,0.39578,1.22205,-0.00974,0.46295,1.27158,0.34457,0.29995,1.24277,0.17882,0.40121,1.59862,0.16772,0.35379,1.58346,0.14217,0.33933,1.21808,0.13852,0.30717,0.92124,0.05721,0.44118,0.72622,0.24218,0.28271,0.7136,0.00998,0.56331,0.31769,0.25551,0.1908,0.29222,-0.02934,0.62726,0.02422,0.27236,0.13332,0.01857,-0.04156,0.63415,0.02434,0.28624,0.13461,0.01835
938,0.14789,0.36285,0.96273,0.11461,0.60869,1.45449,0.3353,0.5232,1.38276,0.03304,0.54634,1.2676,0.36025,0.39739,1.21628,-0.01392,0.46217,1.2697,0.34223,0.3015,1.23967,0.17446,0.40427,1.59795,0.16373,0.35685,1.58249,0.14003,0.34304,1.217,0.13818,0.31047,0.92052,0.0564,0.44294,0.72507,0.24188,0.28618,0.71291,0.01076,0.56436,0.31575,0.25536,0.19239,0.29193,-0.02752,0.62921,0.02244,0.2725,0.13373,0.01855,-0.03982,0.63594,0.02262,0.28638,0.13499,0.01828
939,0.14622,0.36564,0.96166,0.10944,0.60766,1.45197,0.33479,0.52973,1.37317,0.02768,0.54464,1.2655,0.35772,0.39912,1.2102,-0.01829,0.46142,1.26802,0.34003,0.30317,1.23659,0.16969,0.40735,1.59741,0.15948,0.35987,1.5818,0.13753,0.3469,1.21604,0.13779,0.31393,0.91995,0.05547,0.44468,0.72424,0.2415,0.28985,0.71217,0.0114,0.56509,0.31412,0.25526,0.19389,0.29163,-0.02589,0.63038,0.02086,0.27268,0.134,0.0185,-0.03826,0.63699,0.02108,0.28656,0.13526,0.01817
940,0.14445,0.36856,0.96073,0.10433,0.60723,1.45016,0.33355,0.53657,1.36274,0.02211,0.54373,1.2642,0.35494,0.40084,1.20388,-0.02268,0.46096,1.26684,0.33788,0.30503,1.2336,0.16462,0.41046,1.597,0.15502,0.36287,1.58134,0.13499,0.3509,1.21527,0.13727,0.31756,0.91945,0.05433,0.44644,0.72362,0.24106,0.29391,0.71142,0.01169,0.56544,0.31269,0.25518,0.19552,0.29145,-0.02468,0.63078,0.01953,0.27275,0.1341,0.01866,-0.03708,0.63731,0.01978,0.28663,0.13538,0.01828
941,0.14263,0.37157,0.96001,0.0991,0.60742,1.44885,0.33179,0.54366,1.35189,0.01625,0.54334,1.26351,0.35195,0.40263,1.19766,-0.02724,0.46069,1.26626,0.33566,0.30726,1.23085,0.15948,0.41376,1.59676,0.15049,0.36609,1.58098,0.13265,0.35501,1.21473,0.13662,0.32122,0.91909,0.053,0.44808,0.72315,0.24056,0.29823,0.71081,0.01145,0.56547,0.31145,0.25502,0.19739,0.29152,-0.02403,0.63074,0.01845,0.27271,0.13412,0.01917,-0.03646,0.63723,0.0187,0.28658,0.13544,0.01878
942,0.14074,0.37459,0.95955,0.09387,0.60769,1.44751,0.32962,0.551,1.34113,0.0101,0.54278,1.26298,0.34917,0.40473,1.19184,-0.03224,0.46034,1.26618,0.33334,0.30997,1.22851,0.15442,0.41742,1.59677,0.14602,0.36976,1.58065,0.13041,0.3592,1.21435,0.13588,0.32464,0.91903,0.05151,0.44943,0.72295,0.23994,0.30256,0.7105,0.01064,0.56536,0.31054,0.25478,0.19948,0.29192,-0.02391,0.63064,0.01768,0.27276,0.1341,0.02005,-0.03635,0.63711,0.01786,0.28663,0.13546,0.01965
943,0.13875,0.37752,0.95932,0.08908,0.60771,1.44565,0.32721,0.55847,1.33059,0.00385,0.54152,1.26233,0.34693,0.40716,1.18643,-0.0378,0.45948,1.26638,0.33101,0.31309,1.2267,0.14939,0.42157,1.59705,0.14163,0.37398,1.5804,0.1281,0.36335,1.21409,0.13515,0.32771,0.91926,0.04985,0.45043,0.72305,0.23916,0.30678,0.71044,0.00933,0.56531,0.31007,0.25448,0.20181,0.29256,-0.02408,0.63075,0.0172,0.27307,0.13416,0.02114,-0.03653,0.6372,0.01721,0.28693,0.13558,0.02075
944,0.1367,0.38033,0.95922,0.08502,0.60754,1.4432,0.32483,0.56581,1.32001,-0.00234,0.53958,1.26163,0.34511,0.40962,1.18131,-0.04379,0.45773,1.26679,0.32878,0.31642,1.22553,0.14429,0.42613,1.59754,0.13732,0.37862,1.58033,0.12567,0.36734,1.21392,0.13454,0.33039,0.91961,0.04805,0.4511,0.7233,0.23828,0.31093,0.71048,0.00768,0.56546,0.30995,0.25419,0.2044,0.29326,-0.02434,0.63105,0.01689,0.27364,0.13447,0.02226,-0.0368,0.63749,0.01672,0.2875,0.13598,0.02184
945,0.13464,0.38301,0.9592,0.08127,0.60729,1.44055,0.32275,0.57309,1.30916,-0.00868,0.53733,1.26109,0.34329,0.412,1.17645,-0.05003,0.4552,1.2674,0.3266,0.32001,1.22505,0.13911,0.43092,1.59817,0.13307,0.38344,1.58054,0.12323,0.37114,1.21384,0.13413,0.33273,0.91992,0.04618,0.45152,0.72356,0.23747,0.31504,0.71057,0.0058,0.56574,0.31005,0.25398,0.20716,0.29397,-0.02468,0.63138,0.01671,0.27438,0.13503,0.02332,-0.03713,0.63782,0.01638,0.28821,0.13665,0.02283
946,0.13265,0.38562,0.95932,0.07714,0.60684,1.43818,0.32104,0.58078,1.29807,-0.01551,0.53509,1.26088,0.34118,0.41458,1.17209,-0.05635,0.45228,1.26814,0.32434,0.32409,1.22533,0.13388,0.43575,1.59886,0.12882,0.38822,1.58104,0.12088,0.37481,1.21389,0.1339,0.3349,0.92025,0.04433,0.45178,0.72387,0.23687,0.31918,0.71084,0.00385,0.56602,0.31031,0.2539,0.20998,0.29486,-0.02512,0.63157,0.01667,0.27512,0.13563,0.02447,-0.03756,0.63803,0.01624,0.28894,0.13738,0.02392
947,0.13074,0.38829,0.95965,0.07245,0.60608,1.4363,0.3195,0.58934,1.28682,-0.02278,0.53295,1.26101,0.33879,0.41769,1.16847,-0.06263,0.4491,1.26892,0.32198,0.32887,1.22637,0.12853,0.44053,1.5995,0.12446,0.39289,1.58172,0.11866,0.37843,1.21415,0.13378,0.33719,0.92075,0.04259,0.45206,0.72429,0.23648,0.32359,0.71142,0.00199,0.56623,0.3107,0.25396,0.21291,0.29613,-0.02564,0.63157,0.01678,0.27583,0.13604,0.026,-0.03806,0.63806,0.0163,0.28963,0.13791,0.02539
948,0.12887,0.39114,0.96017,0.06758,0.60516,1.43488,0.31773,0.59873,1.27563,-0.02995,0.53087,1.26129,0.33629,0.42148,1.16572,-0.06875,0.44555,1.26976,0.31962,0.33446,1.22818,0.12304,0.44525,1.60001,0.11995,0.39747,1.5824,0.11646,0.38204,1.2146,0.13366,0.33992,0.92142,0.04094,0.45251,0.72485,0.23616,0.32856,0.71218,0.00029,0.56642,0.31117,0.25416,0.21608,0.29776,-0.02628,0.63145,0.01698,0.27654,0.13623,0.028,-0.03868,0.63798,0.01648,0.29032,0.1382,0.02732
949,0.12694,0.39416,0.96078,0.06272,0.60418,1.43377,0.31532,0.60878,1.26477,-0.03673,0.52864,1.26159,0.33372,0.42628,1.16374,-0.07468,0.44159,1.27076,0.31738,0.34108,1.23068,0.11747,0.44995,1.6004,0.11535,0.40205,1.58296,0.11414,0.38561,1.21516,0.1334,0.34309,0.92215,0.03927,0.45302,0.7255,0.23577,0.33413,0.71289,-0.00129,0.56659,0.31165,0.25451,0.21956,0.2995,-0.02707,0.6314,0.0172,0.27726,0.13644,0.03029,-0.03946,0.63796,0.0167,0.29103,0.13851,0.02953
950,0.12491,0.39725,0.96143,0.05765,0.60289,1.43287,0.31207,0.61972,1.25459,-0.04347,0.52594,1.26212,0.33121,0.43273,1.16232,-0.08038,0.43745,1.27195,0.3155,0.3491,1.2337,0.11183,0.45471,1.6008,0.1107,0.40674,1.58349,0.11166,0.38913,1.21582,0.13291,0.34631,0.92287,0.03751,0.45326,0.7262,0.23521,0.33997,0.71341,-0.00283,0.56655,0.31208,0.25495,0.2234,0.30115,-0.02792,0.63152,0.01745,0.27798,0.13693,0.03264,-0.04031,0.63807,0.0169,0.29172,0.13913,0.03181
951,0.12274,0.40031,0.96213,0.0523,0.60089,1.43233,0.30806,0.632,1.24547,-0.0507,0.52267,1.26338,0.32902,0.4415,1.16134,-0.08576,0.43336,1.27339,0.31417,0.35881,1.237,0.10604,0.45959,1.60134,0.10584,0.41157,1.58414,0.10901,0.39261,1.21663,0.13215,0.34919,0.92354,0.03563,0.45304,0.7269,0.23439,0.34579,0.71372,-0.00433,0.56612,0.31241,0.25534,0.22772,0.30264,-0.02868,0.63175,0.01772,0.2786,0.13773,0.03492,-0.04109,0.63827,0.01709,0.29231,0.14008,0.03401
952,0.12046,0.40335,0.96288,0.04675,0.59818,1.43249,0.3036,0.64591,1.23781,-0.0583,0.5191,1.26564,0.32742,0.45288,1.16086,-0.09068,0.42938,1.27512,0.31342,0.37023,1.24035,0.10001,0.46457,1.60196,0.10069,0.4165,1.58492,0.10621,0.39606,1.21758,0.13108,0.35156,0.92411,0.03365,0.45244,0.72753,0.2333,0.35148,0.71385,-0.00572,0.56541,0.31265,0.25564,0.23261,0.30401,-0.02936,0.63198,0.01801,0.27919,0.13877,0.03714,-0.0418,0.63843,0.01732,0.29286,0.14128,0.03614
953,0.11814,0.40641,0.96362,0.0413,0.59535,1.43328,0.29853,0.66167,1.23206,-0.06561,0.51565,1.26852,0.32631,0.46705,1.16099,-0.09509,0.42551,1.27715,0.31307,0.38342,1.24348,0.0938,0.46962,1.60248,0.09536,0.42148,1.58568,0.10337,0.39947,1.21856,0.12978,0.35342,0.92454,0.0317,0.45165,0.72805,0.23201,0.35705,0.71391,-0.00688,0.56461,0.31286,0.25596,0.23803,0.30537,-0.03,0.63199,0.01831,0.27993,0.14004,0.03941,-0.04248,0.63836,0.0176,0.29356,0.14272,0.03831
954,0.11591,0.40953,0.96431,0.03648,0.59318,1.43413,0.29203,0.67959,1.22892,-0.07194,0.51246,1.27132,0.32519,0.48444,1.16179,-0.09898,0.42174,1.27944,0.31283,0.39875,1.24609,0.0876,0.47477,1.60273,0.09006,0.42653,1.58633,0.10059,0.40282,1.2194,0.1284,0.35489,0.92486,0.02995,0.45071,0.72842,0.23066,0.36254,0.71407,-0.00772,0.56387,0.31312,0.25645,0.24374,0.30685,-0.03051,0.6316,0.01851,0.28088,0.1416,0.04182,-0.04302,0.6379,0.01778,0.29447,0.14444,0.04057
