	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
7	0.00895	0.00866	0.01435	0.02688	-0.06570	0.00953	-0.00664	0.21132	0.08110	0.03303	-0.05821	0.01531	0.02497	0.10232	0.03775	0.02756	-0.04081	0.02121	0.01750	0.02123	0.01214	-0.02116	-0.03860	0.02882	-0.02365	-0.03862	0.03331	0.02279	0.01331	0.01349	0.00475	0.01019	0.00850	0.00469	0.02305	0.00232	-0.00127	0.00972	0.01863	-0.00186	0.00949	0.00390	0.00083	0.00347	0.02137	-0.00189	-0.01109	0.00653	0.00034	-0.01574	0.01944	0.00000	-0.00961	0.01099	0.00023	-0.01558	0.01535
8	0.00749	-0.00462	0.00330	0.04312	-0.05302	0.01675	-0.00396	0.19372	0.08980	0.03112	-0.05852	0.01075	0.02489	0.08114	0.04134	0.01800	-0.04488	0.00843	0.02287	-0.00102	0.01471	-0.03001	-0.04628	0.03113	-0.02888	-0.04605	0.02857	0.01232	-0.01687	-0.00430	0.01451	0.00184	-0.00117	0.01472	0.01915	0.00455	-0.00163	0.00239	-0.00195	0.00520	0.02032	0.00992	-0.00540	-0.00103	-0.00239	-0.02008	0.00600	0.00611	0.00541	-0.00932	-0.00441	-0.01663	0.00850	0.01216	0.00510	-0.01059	-0.00841
9	0.00430	-0.02270	-0.00058	0.06004	-0.06491	0.03254	-0.01582	0.15479	0.09272	0.01412	-0.07057	0.01623	0.01705	0.05286	0.04889	-0.00659	-0.05610	0.00501	0.02433	-0.01321	0.02414	-0.03464	-0.05377	0.02521	-0.02801	-0.05693	0.02098	0.00042	-0.04780	-0.00711	0.01939	-0.00784	-0.00569	0.01813	0.00139	0.00633	0.00159	-0.00946	-0.01508	0.00777	0.01672	0.01184	-0.00634	-0.01344	-0.01816	-0.02165	0.01647	0.00423	0.00930	-0.00355	-0.01912	-0.01880	0.01834	0.00693	0.00894	-0.00560	-0.02169
10	0.00203	-0.03130	0.00581	0.05138	-0.08520	0.04874	-0.02035	0.11712	0.08382	-0.01116	-0.07930	0.03287	0.00841	0.03934	0.04992	-0.02599	-0.06198	0.01871	0.02538	-0.01279	0.02855	-0.03221	-0.06098	0.01904	-0.02632	-0.06511	0.01848	-0.00419	-0.05805	0.00696	0.02043	-0.01185	-0.00173	0.01488	-0.01412	0.00542	0.00643	-0.01371	-0.00963	0.00103	0.00701	0.00793	-0.00658	-0.01787	-0.01287	-0.00526	0.01726	0.00119	0.00698	-0.00443	-0.01211	-0.00433	0.01757	-0.00195	0.00666	-0.00673	-0.01256
11	0.00328	-0.02556	0.01527	0.01652	-0.09002	0.05067	-0.00093	0.10077	0.06368	-0.02085	-0.07384	0.04738	0.00771	0.04820	0.03700	-0.01847	-0.05663	0.03832	0.02433	-0.00424	0.01966	-0.02194	-0.06760	0.02040	-0.02540	-0.06684	0.02474	0.00361	-0.04665	0.02378	0.01904	-0.00732	0.00551	0.00986	-0.01420	0.00485	0.00717	-0.00518	0.00404	-0.00867	0.00096	0.00458	-0.01136	-0.00777	0.00222	0.01245	0.00678	0.00098	-0.00047	-0.00699	0.00396	0.01230	0.00615	-0.00594	-0.00070	-0.00906	0.00505
12	0.00571	-0.01108	0.01909	-0.01319	-0.07841	0.03292	0.03004	0.11301	0.04839	-0.00341	-0.05900	0.04470	0.01309	0.07243	0.02115	0.00971	-0.04829	0.04315	0.01861	0.00918	0.00611	-0.00694	-0.06607	0.02647	-0.02023	-0.05944	0.03415	0.01503	-0.02760	0.02903	0.01215	0.00520	0.00930	0.00419	0.00048	0.00896	0.00215	0.01204	0.00862	-0.01061	0.00083	0.00778	-0.01501	0.00836	0.00874	0.01469	-0.00996	0.00486	-0.00845	-0.00147	0.01056	0.01482	-0.01040	-0.00128	-0.00855	-0.00245	0.01130
13	0.00564	0.00171	0.01633	-0.01059	-0.06904	0.00514	0.04649	0.14361	0.05261	0.02617	-0.04780	0.02411	0.01743	0.09665	0.01922	0.03071	-0.04740	0.02632	0.00931	0.02288	0.00268	0.00438	-0.05105	0.02746	-0.01038	-0.04452	0.03783	0.01595	-0.01475	0.02160	0.00228	0.01890	0.00987	-0.00374	0.01353	0.01602	0.00049	0.02903	0.00323	-0.00357	0.00087	0.01402	-0.00730	0.02100	0.00574	0.00471	-0.02019	0.00742	-0.01348	0.01257	0.00776	0.00515	-0.02014	0.00503	-0.01346	0.01301	0.00662
14	0.00399	0.00394	0.01125	0.01700	-0.07181	-0.01315	0.03635	0.16653	0.06998	0.04071	-0.04764	0.00298	0.01933	0.10121	0.03194	0.02758	-0.05205	0.00481	0.00123	0.02830	0.01310	0.00509	-0.03315	0.01887	-0.00270	-0.03318	0.03251	0.00424	-0.01529	0.00884	0.00084	0.02296	0.01070	-0.01029	0.00900	0.01926	0.01151	0.03790	-0.00059	0.00492	-0.00466	0.01441	0.01114	0.02852	0.00398	-0.00380	-0.01362	0.00304	-0.01345	0.02370	0.00522	-0.00380	-0.01348	0.00466	-0.01349	0.02429	0.00214
15	0.00225	-0.00556	0.00709	0.03787	-0.08002	-0.00977	0.01035	0.16424	0.08350	0.02414	-0.05567	-0.00219	0.02050	0.07932	0.04497	0.00570	-0.05192	-0.00236	0.00100	0.02224	0.02704	-0.00245	-0.03131	0.00894	-0.00166	-0.03794	0.02320	-0.01115	-0.02894	-0.00129	0.00935	0.01353	0.01086	-0.01043	-0.00943	0.01409	0.02739	0.03493	0.00241	0.00704	-0.01304	0.00576	0.02739	0.03129	0.00691	-0.00660	0.00597	-0.00537	-0.00608	0.02396	0.00461	-0.00751	0.00576	-0.00154	-0.00636	0.02310	0.00050
16	-0.00124	-0.01849	0.00448	0.03132	-0.08313	0.00732	-0.01081	0.14528	0.08661	-0.01094	-0.06495	0.00540	0.01945	0.04802	0.04771	-0.01974	-0.04623	0.00228	0.01067	0.01170	0.03200	-0.00859	-0.04981	0.00960	-0.00525	-0.05584	0.01796	-0.02135	-0.04572	-0.00378	0.01311	-0.00091	0.00682	-0.00648	-0.02306	0.00306	0.02934	0.02340	0.00620	0.00155	-0.01612	-0.00547	0.02918	0.02791	0.00842	-0.00836	0.02177	-0.00998	0.00592	0.01643	0.00253	-0.01016	0.02097	-0.00683	0.00548	0.01431	-0.00125
