	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
7	-3.58707	-5.24436	-9.61253	-2.40951	2.82996	-47.06303	-1.41167	-5.60719	-9.40681	-1.75090	2.12242	-47.09149	-1.41168	-5.60719	-9.40681	-1.75090	2.12242	-47.09149	3.14372	-0.22244	-21.16020	-18.91330	6.01885	-41.73606	24.17344	-3.88452	-21.18506	-5.91014	-3.52971	-42.25351	-14.79652	6.04003	-35.06149	-14.74155	3.69058	-30.83969	-7.94319	-2.19329	-39.20798	-25.42303	11.78815	-37.72369	1.95310	10.94016	-60.07457	-11.85858	-14.67782	8.01076	19.72705	-19.59751	-140.96011	26.26671	-6.63142	101.34164	28.25670	-9.72244	-138.54578	22.21678	-15.87475	100.13661
8	-3.27776	-4.89489	-9.75970	-2.34580	2.92751	-47.08131	-1.31983	-5.22736	-9.58696	-1.72244	2.25748	-47.10951	-1.31984	-5.22736	-9.58696	-1.72244	2.25748	-47.10951	3.08243	-0.24159	-20.98535	-18.96009	5.97477	-41.84336	24.20489	-3.85193	-21.01575	-5.88399	-3.49452	-42.38112	-14.76602	6.00118	-35.12263	-14.68526	3.66978	-30.87637	-7.95625	-2.21479	-39.19256	-25.43840	11.76301	-37.71527	1.89265	10.90391	-59.95189	-11.74331	-14.77618	8.19258	19.72986	-19.58862	-140.18849	26.53971	-6.54997	101.81649	28.25667	-9.71305	-137.79449	22.55698	-15.84425	100.62710
9	-2.94173	-4.54478	-9.93171	-2.16703	2.93380	-47.14188	-1.29113	-4.83086	-9.79680	-1.62963	2.35499	-47.16668	-1.29113	-4.83085	-9.79680	-1.62963	2.35499	-47.16668	3.06591	-0.21450	-20.70299	-18.96816	5.92319	-42.10621	24.23976	-3.85123	-20.71845	-5.88304	-3.44368	-42.66509	-14.73079	6.02183	-35.13264	-14.69053	3.64775	-30.88961	-7.94936	-2.11810	-39.19346	-25.43737	11.85550	-37.68647	1.81341	10.89188	-59.83837	-11.65730	-14.88138	8.42613	19.77087	-19.65878	-139.66035	26.78955	-6.43554	102.03777	28.27546	-9.77390	-137.27296	22.93110	-15.85447	100.87456
10	-2.88095	-4.46946	-10.02097	-2.01824	2.93642	-47.21552	-1.35986	-4.73573	-9.89890	-1.51403	2.39198	-47.23895	-1.35987	-4.73573	-9.89890	-1.51403	2.39199	-47.23895	3.10566	-0.16145	-20.48503	-18.94566	5.89022	-42.28740	24.25581	-3.86779	-20.47932	-5.90797	-3.39938	-42.85565	-14.72027	6.07015	-35.09377	-14.74015	3.64146	-30.85269	-7.89431	-1.98047	-39.23072	-25.38222	11.99796	-37.68050	1.73711	10.93323	-59.84361	-11.62928	-14.93948	8.59143	19.80434	-19.80075	-139.44542	27.01182	-6.31761	101.71736	28.27264	-9.95332	-137.05066	23.20495	-15.83977	100.56705
11	-3.15927	-4.73618	-10.02168	-2.04295	2.99619	-47.28633	-1.49784	-5.02663	-9.88029	-1.46048	2.36565	-47.31358	-1.49784	-5.02663	-9.88030	-1.46048	2.36565	-47.31358	3.16892	-0.11583	-20.47730	-18.92569	5.88161	-42.26039	24.25314	-3.86624	-20.46846	-5.92857	-3.35912	-42.83044	-14.73726	6.08903	-35.04840	-14.77706	3.64909	-30.79172	-7.82464	-1.92181	-39.23434	-25.31545	12.05500	-37.66599	1.67526	11.01573	-59.92435	-11.61446	-14.92917	8.61058	19.80639	-19.92337	-139.48236	27.22142	-6.24196	101.04314	28.21325	-10.14855	-137.08304	23.28260	-15.83094	99.86190
12	-3.49528	-5.11843	-10.01811	-2.18219	3.08601	-47.33554	-1.63689	-5.44251	-9.84706	-1.48022	2.32473	-47.36868	-1.63689	-5.44250	-9.84706	-1.48022	2.32473	-47.36868	3.20109	-0.08580	-20.64272	-18.92976	5.87762	-42.16376	24.24728	-3.84685	-20.65056	-5.92905	-3.31327	-42.73998	-14.74696	6.07211	-35.01976	-14.75762	3.64647	-30.75682	-7.77627	-1.98304	-39.14011	-25.28548	11.96829	-37.59299	1.62568	11.09113	-59.95045	-11.54936	-14.89495	8.54376	19.79561	-19.95291	-139.70859	27.41615	-6.22359	100.48453	28.09369	-10.18900	-137.32173	23.23658	-15.90562	99.23697
13	-3.59680	-5.34949	-10.03621	-2.27861	3.17548	-47.33581	-1.73384	-5.67471	-9.85724	-1.49638	2.32712	-47.37336	-1.73384	-5.67471	-9.85724	-1.49638	2.32712	-47.37336	3.18128	-0.06686	-20.83953	-18.95185	5.87090	-42.15065	24.24410	-3.84118	-20.86464	-5.92486	-3.28011	-42.73658	-14.72351	6.06179	-34.98996	-14.68876	3.62471	-30.76783	-7.73087	-2.09936	-38.98576	-25.26917	11.81092	-37.47847	1.61042	11.12148	-59.94184	-11.42464	-14.89357	8.50167	19.78355	-19.92495	-140.06192	27.60696	-6.23248	100.45179	27.93553	-10.00685	-137.69598	23.19711	-16.09610	99.12534
14	-3.39746	-5.30979	-10.03469	-2.26489	3.25927	-47.30141	-1.79278	-5.59028	-9.88227	-1.46391	2.39165	-47.34090	-1.79278	-5.59028	-9.88227	-1.46391	2.39165	-47.34090	3.15031	-0.07582	-20.93854	-18.97805	5.88407	-42.22371	24.23107	-3.85484	-20.96654	-5.92875	-3.28574	-42.81461	-14.68526	6.08383	-34.92593	-14.60670	3.59413	-30.79934	-7.65039	-2.21052	-38.88224	-25.20613	11.67374	-37.41195	1.64109	11.09553	-59.97890	-11.27897	-14.94546	8.53070	19.76945	-19.91817	-140.48932	27.80563	-6.23945	101.14989	27.75551	-9.73534	-138.14040	23.26416	-16.29534	99.76369
15	-3.02888	-5.03689	-9.98950	-2.16630	3.30772	-47.29756	-1.82281	-5.24730	-9.88140	-1.42608	2.50610	-47.33510	-1.82281	-5.24730	-9.88140	-1.42608	2.50610	-47.33510	3.16709	-0.13210	-20.86017	-19.00108	5.92887	-42.32353	24.19446	-3.85609	-20.87713	-5.93123	-3.32125	-42.91483	-14.65353	6.10931	-34.82482	-14.53918	3.56805	-30.80363	-7.53305	-2.30726	-38.90177	-25.07818	11.58738	-37.46074	1.66896	11.03918	-60.02053	-11.15386	-15.04019	8.63206	19.75884	-19.94919	-140.87910	27.98154	-6.23242	102.43880	27.57127	-9.62428	-138.54822	23.52668	-16.34347	101.06157
16	-2.73361	-4.72304	-9.90495	-2.02345	3.28359	-47.35848	-1.81833	-4.88168	-9.82833	-1.43088	2.64062	-47.38910	-1.81834	-4.88168	-9.82833	-1.43088	2.64062	-47.38910	3.24042	-0.21089	-20.63685	-19.01566	5.97583	-42.38666	24.14219	-3.82812	-20.63805	-5.92033	-3.35327	-42.97841	-14.62031	6.09033	-34.72535	-14.50181	3.56646	-30.74383	-7.41819	-2.35695	-38.98958	-24.93954	11.56643	-37.56142	1.63458	11.01548	-60.00473	-11.08055	-15.14145	8.77949	19.75132	-19.99109	-141.06767	28.10774	-6.19968	103.88261	27.42793	-9.78900	-138.75919	24.00481	-16.22893	102.59858
