	RTOES_DIST	RTOES_DIST	RTOES_DIST	LTOES_DIST	LTOES_DIST	LTOES_DIST	RTOES_PROX	RTOES_PROX	RTOES_PROX	LTOES_PROX	LTOES_PROX	LTOES_PROX	RFTS_DIST	RFTS_DIST	RFTS_DIST	LFTS_DIST	LFTS_DIST	LFTS_DIST	RFTS_PROX	RFTS_PROX	RFTS_PROX	LFTS_PROX	LFTS_PROX	LFTS_PROX
	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED	LINK_MODEL_BASED
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z	X	Y	Z
10	0.28076	0.19936	0.00438	0.11516	0.70135	0.00369	0.24519	0.16648	0.00736	0.10674	0.65358	0.00543	0.27329	0.14699	0.01231	0.08771	0.66267	0.01016	0.13532	0.01949	0.02144	0.05485	0.47374	0.01193
11	0.28092	0.19922	0.00438	0.11520	0.70147	0.00344	0.24531	0.16638	0.00742	0.10679	0.65370	0.00538	0.27339	0.14685	0.01236	0.08773	0.66279	0.00999	0.13525	0.01952	0.02131	0.05495	0.47385	0.01205
12	0.28098	0.19907	0.00434	0.11534	0.70145	0.00324	0.24534	0.16628	0.00751	0.10693	0.65370	0.00540	0.27340	0.14672	0.01248	0.08783	0.66278	0.00985	0.13513	0.01952	0.02138	0.05518	0.47383	0.01214
13	0.28088	0.19910	0.00429	0.11547	0.70128	0.00323	0.24524	0.16631	0.00758	0.10705	0.65353	0.00544	0.27330	0.14675	0.01255	0.08793	0.66262	0.00980	0.13503	0.01957	0.02149	0.05526	0.47367	0.01228
14	0.28069	0.19932	0.00429	0.11548	0.70109	0.00334	0.24507	0.16651	0.00762	0.10706	0.65333	0.00539	0.27315	0.14696	0.01254	0.08796	0.66244	0.00977	0.13495	0.01970	0.02157	0.05520	0.47350	0.01248
15	0.28056	0.19955	0.00432	0.11537	0.70105	0.00339	0.24495	0.16674	0.00762	0.10699	0.65328	0.00518	0.27304	0.14719	0.01248	0.08791	0.66239	0.00967	0.13487	0.01992	0.02170	0.05514	0.47346	0.01267
16	0.28064	0.19966	0.00434	0.11515	0.70123	0.00334	0.24500	0.16687	0.00755	0.10683	0.65344	0.00493	0.27307	0.14730	0.01235	0.08778	0.66254	0.00954	0.13480	0.02016	0.02190	0.05516	0.47359	0.01275
17	0.28086	0.19966	0.00437	0.11484	0.70151	0.00323	0.24516	0.16691	0.00744	0.10660	0.65371	0.00480	0.27322	0.14731	0.01220	0.08755	0.66277	0.00946	0.13481	0.02035	0.02208	0.05526	0.47377	0.01269
18	0.28101	0.19963	0.00445	0.11456	0.70169	0.00314	0.24530	0.16689	0.00741	0.10641	0.65388	0.00484	0.27335	0.14728	0.01217	0.08732	0.66290	0.00944	0.13490	0.02037	0.02215	0.05541	0.47383	0.01259
19	0.28101	0.19956	0.00457	0.11442	0.70168	0.00309	0.24531	0.16681	0.00756	0.10634	0.65386	0.00498	0.27337	0.14721	0.01236	0.08720	0.66284	0.00943	0.13496	0.02024	0.02214	0.05567	0.47371	0.01254
