	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedTeepN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.13613	0.02005	0.01290	0.05738	0.47192	0.00524
87	0.13577	0.01998	0.01310	0.05705	0.47213	0.00527
88	0.13561	0.01988	0.01317	0.05727	0.47223	0.00518
89	0.13559	0.01979	0.01309	0.05780	0.47215	0.00513
90	0.13565	0.01971	0.01297	0.05829	0.47186	0.00527
91	0.13577	0.01965	0.01293	0.05854	0.47155	0.00554
92	0.13590	0.01970	0.01299	0.05848	0.47142	0.00575
93	0.13597	0.01990	0.01310	0.05826	0.47154	0.00577
94	0.13604	0.02009	0.01317	0.05813	0.47176	0.00562
95	0.13609	0.02011	0.01313	0.05826	0.47188	0.00546
96	0.13607	0.01994	0.01295	0.05852	0.47187	0.00536
97	0.13595	0.01975	0.01279	0.05874	0.47185	0.00528
98	0.13581	0.01968	0.01275	0.05890	0.47193	0.00514
99	0.13573	0.01975	0.01280	0.05894	0.47213	0.00490
100	0.13577	0.01988	0.01285	0.05880	0.47241	0.00466
101	0.13596	0.01995	0.01285	0.05855	0.47265	0.00457
102	0.13626	0.01997	0.01274	0.05843	0.47272	0.00460
103	0.13656	0.02003	0.01244	0.05856	0.47255	0.00465
104	0.13677	0.02012	0.01200	0.05869	0.47225	0.00462
105	0.13689	0.02013	0.01160	0.05856	0.47202	0.00459
106	0.13701	0.02005	0.01137	0.05820	0.47191	0.00463
107	0.13713	0.01998	0.01128	0.05796	0.47185	0.00472
108	0.13720	0.02001	0.01129	0.05803	0.47179	0.00482
109	0.13721	0.02016	0.01136	0.05830	0.47175	0.00492
110	0.13719	0.02045	0.01144	0.05856	0.47178	0.00498
111	0.13719	0.02078	0.01142	0.05869	0.47188	0.00498
112	0.13721	0.02103	0.01127	0.05870	0.47205	0.00494
113	0.13718	0.02117	0.01109	0.05862	0.47222	0.00494
114	0.13707	0.02126	0.01096	0.05854	0.47236	0.00495
115	0.13696	0.02138	0.01086	0.05854	0.47246	0.00488
116	0.13682	0.02153	0.01079	0.05856	0.47256	0.00474
117	0.13658	0.02160	0.01082	0.05853	0.47267	0.00464
118	0.13623	0.02144	0.01104	0.05858	0.47275	0.00461
119	0.13587	0.02094	0.01146	0.05869	0.47282	0.00461
120	0.13568	0.02024	0.01199	0.05864	0.47288	0.00471
121	0.13571	0.01964	0.01242	0.05826	0.47299	0.00491
122	0.13588	0.01936	0.01257	0.05784	0.47315	0.00503
123	0.13603	0.01940	0.01247	0.05769	0.47330	0.00489
124	0.13608	0.01954	0.01228	0.05791	0.47335	0.00464
125	0.13615	0.01953	0.01221	0.05835	0.47320	0.00462
126	0.13637	0.01930	0.01230	0.05878	0.47292	0.00492
127	0.13662	0.01899	0.01249	0.05894	0.47262	0.00530
128	0.13672	0.01876	0.01263	0.05879	0.47241	0.00552
129	0.13666	0.01870	0.01263	0.05846	0.47231	0.00559
130	0.13662	0.01881	0.01250	0.05809	0.47232	0.00559
131	0.13667	0.01899	0.01233	0.05780	0.47237	0.00558
132	0.13676	0.01916	0.01217	0.05784	0.47236	0.00552
133	0.13676	0.01924	0.01205	0.05828	0.47223	0.00539
134	0.13667	0.01918	0.01197	0.05874	0.47212	0.00532
135	0.13654	0.01902	0.01189	0.05884	0.47215	0.00534
136	0.13649	0.01886	0.01174	0.05858	0.47227	0.00534
137	0.13651	0.01881	0.01156	0.05822	0.47237	0.00523
138	0.13658	0.01894	0.01136	0.05801	0.47237	0.00508
139	0.13667	0.01925	0.01118	0.05799	0.47227	0.00505
140	0.13678	0.01963	0.01107	0.05804	0.47215	0.00511
141	0.13684	0.01994	0.01107	0.05812	0.47201	0.00518
142	0.13687	0.02015	0.01111	0.05825	0.47186	0.00520
143	0.13695	0.02027	0.01106	0.05837	0.47175	0.00521
144	0.13711	0.02032	0.01089	0.05840	0.47173	0.00527
145	0.13725	0.02034	0.01077	0.05834	0.47180	0.00537
146	0.13725	0.02035	0.01084	0.05817	0.47186	0.00547
147	0.13714	0.02037	0.01100	0.05788	0.47187	0.00558
148	0.13709	0.02038	0.01098	0.05763	0.47180	0.00570
149	0.13716	0.02041	0.01076	0.05765	0.47168	0.00576
150	0.13726	0.02050	0.01053	0.05799	0.47153	0.00570
151	0.13729	0.02058	0.01052	0.05848	0.47136	0.00557
152	0.13730	0.02054	0.01069	0.05882	0.47123	0.00551
153	0.13730	0.02041	0.01080	0.05880	0.47116	0.00561
154	0.13724	0.02032	0.01063	0.05856	0.47114	0.00580
155	0.13716	0.02033	0.01030	0.05836	0.47116	0.00591
156	0.13718	0.02038	0.01008	0.05828	0.47130	0.00582
157	0.13730	0.02036	0.01012	0.05826	0.47152	0.00563
158	0.13744	0.02022	0.01035	0.05828	0.47168	0.00552
159	0.13750	0.02000	0.01063	0.05834	0.47170	0.00557
160	0.13752	0.01985	0.01081	0.05837	0.47164	0.00572
161	0.13754	0.01983	0.01089	0.05826	0.47159	0.00590
162	0.13753	0.01996	0.01088	0.05800	0.47160	0.00607
163	0.13749	0.02016	0.01076	0.05787	0.47166	0.00620
164	0.13744	0.02033	0.01054	0.05815	0.47171	0.00621
165	0.13745	0.02033	0.01040	0.05868	0.47173	0.00612
166	0.13749	0.02021	0.01051	0.05903	0.47177	0.00600
167	0.13746	0.02007	0.01090	0.05897	0.47185	0.00592
168	0.13738	0.02001	0.01130	0.05864	0.47189	0.00593
169	0.13737	0.02001	0.01145	0.05832	0.47180	0.00602
170	0.13748	0.02003	0.01132	0.05824	0.47167	0.00614
171	0.13765	0.02002	0.01116	0.05837	0.47160	0.00623
172	0.13771	0.01994	0.01113	0.05855	0.47161	0.00630
173	0.13761	0.01983	0.01120	0.05866	0.47165	0.00635
174	0.13744	0.01973	0.01126	0.05872	0.47171	0.00635
