Unnamed: 0_level_0,R_KNEE_MOMENT,R_KNEE_MOMENT,R_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,L_KNEE_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,R_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,L_HIP_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,R_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,L_ANKLE_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,WAIST_JOINT_MOMENT,NECK_MOMENT,NECK_MOMENT,NECK_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,L_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,R_SHOULDER_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,L_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,R_ELBOW_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,L_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT,R_WRIST_MOMENT
ITEM,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
1332,-8.66979,-30.64828,1.86637,-6.87465,-1.05738,0.01369,-43.1674,-39.77791,2.24247,-1.01269,-3.00552,0.55651,-11.07287,23.61901,-2.14956,-7.93134,3.25585,0.28441,-0.80056,8.67494,-1.02595,19.9676,-9.31071,0.31397,3.03181,-0.8085,0.29677,4.6072,-4.50169,0.00033,1.0336,-1.91247,0.20475,2.23359,0.35319,-0.06282,0.13718,-0.23585,0.09041,0.22782,-0.02598,-0.03308
1333,-8.45642,-30.82959,1.85265,-7.16279,-0.72352,0.16227,-42.21996,-40.18287,2.00967,-1.62955,-2.38191,1.01039,-11.0789,23.50915,-2.1441,-7.96055,3.28343,0.36008,-1.78622,7.76538,0.15196,21.74329,-7.65207,-0.71735,4.06917,-1.19978,-0.1402,4.87456,-4.13265,0.33682,0.71947,-1.59128,0.27325,2.04686,0.36798,-0.1359,0.09902,-0.16875,0.06497,0.21912,-0.01921,-0.04606
1334,-8.235,-31.12936,1.89573,-7.44008,-0.48425,0.26802,-42.40593,-40.7325,2.00139,-2.55755,-1.75114,1.18017,-11.08758,23.44495,-2.12107,-8.07567,3.32783,0.44,-4.71315,7.35534,0.96728,21.79785,-5.75541,-2.54058,5.46722,-1.42515,-0.62739,4.90749,-3.91726,0.3622,0.44601,-1.23324,0.30038,1.9377,0.44606,-0.23333,0.09522,-0.08169,0.00476,0.21779,-0.00151,-0.06237
1335,-8.06361,-31.45843,2.00197,-7.62074,-0.42146,0.29181,-43.99615,-41.03432,2.29,-3.51629,-1.41448,0.98182,-11.11157,23.4791,-2.08625,-8.28602,3.39143,0.49965,-9.04035,7.50542,1.07876,19.49714,-4.10446,-4.12597,6.70344,-1.33059,-0.88906,4.73871,-3.85782,0.16667,0.3246,-1.03392,0.32088,1.94609,0.5515,-0.27362,0.12725,-0.02915,-0.04441,0.23074,0.02171,-0.06463
1336,-7.95553,-31.83035,2.14461,-7.63963,-0.48032,0.23292,-46.42723,-41.11924,2.78135,-4.18699,-1.20462,0.56744,-11.16853,23.62132,-2.06022,-8.56931,3.47833,0.53264,-13.45873,8.16086,0.74321,14.80877,-2.99136,-4.33968,7.25119,-0.98822,-0.8237,4.57366,-3.91502,0.01053,0.41329,-1.10548,0.31504,2.0312,0.63157,-0.1995,0.17758,-0.04528,-0.05744,0.25147,0.03771,-0.03644
1337,-7.80088,-32.22554,2.24984,-7.56265,-0.50173,0.14295,-48.38826,-41.15614,3.17493,-4.37303,-0.91886,0.1911,-11.28634,23.87406,-2.0632,-8.91077,3.60697,0.55412,-16.1235,8.95335,0.31389,9.42212,-3.04206,-2.95842,6.83411,-0.66335,-0.55429,4.54692,-4.08739,0.00814,0.70338,-1.40706,0.2216,2.12766,0.66624,-0.03918,0.23114,-0.1243,-0.04561,0.26099,0.03843,0.01792
1338,-7.40257,-32.46448,2.24351,-7.50942,-0.3612,0.08373,-48.58662,-40.94458,3.22764,-4.2043,-0.58076,-0.03086,-11.49255,24.232,-2.09007,-9.29493,3.78974,0.58764,-15.75274,9.68165,-0.1124,6.09995,-5.04888,-0.86057,5.59056,-0.56765,-0.2762,4.64862,-4.41442,0.07331,1.07914,-1.74223,0.04183,2.20606,0.66402,0.12522,0.26983,-0.21741,-0.02716,0.25132,0.02431,0.07597
1339,-6.61061,-32.33802,2.09848,-7.56041,-0.06874,0.09266,-46.55299,-39.9836,2.93054,-4.08344,-0.34989,-0.14698,-11.7924,24.6631,-2.11631,-9.68941,4.01527,0.65461,-12.41852,10.75157,-0.61861,6.76179,-8.9803,0.67531,4.05725,-0.69167,-0.09179,4.78897,-4.90431,0.07177,1.35885,-1.92,-0.12772,2.28776,0.62336,0.23338,0.27398,-0.26927,-0.00752,0.23942,-0.00306,0.11622
1340,-5.439,-31.8461,1.84955,-7.69649,0.25587,0.17325,-42.98522,-38.10878,2.40739,-4.16433,-0.32437,-0.16533,-12.15303,25.10867,-2.11688,-10.0586,4.25734,0.76244,-7.36769,12.60696,-1.24701,10.9752,-13.52996,0.87003,2.95225,-0.83348,-0.00551,4.8368,-5.45493,-0.06495,1.42375,-1.8858,-0.19536,2.36189,0.5343,0.25638,0.23647,-0.25344,0.01044,0.23917,-0.03923,0.12426
1341,-4.06643,-31.19436,1.58058,-7.77224,0.49003,0.29632,-39.26895,-35.84879,1.81165,-4.09951,-0.41459,0.01322,-12.50335,25.51092,-2.0773,-10.38289,4.49767,0.90095,-2.31608,14.72623,-1.76866,15.99275,-17.02635,0.01589,2.80685,-0.76706,0.00683,4.72588,-5.84704,-0.28048,1.28996,-1.70703,-0.15663,2.34463,0.41853,0.17495,0.17329,-0.18287,0.01807,0.23588,-0.07056,0.09311
