	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d
	R_HEEL	R_HEEL	R_HEEL	L_HEEL	L_HEEL	L_HEEL
	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK	LANDMARK
	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL	ORIGINAL
ITEM	X	Y	Z	X	Y	Z
86	0.05627	0.03135	0.01082	0.06496	0.51792	0.00685
87	0.05651	0.03148	0.01078	0.06478	0.51812	0.00696
88	0.05670	0.03155	0.01076	0.06466	0.51834	0.00683
89	0.05675	0.03152	0.01066	0.06493	0.51827	0.00647
90	0.05668	0.03140	0.01044	0.06543	0.51795	0.00616
91	0.05654	0.03127	0.01021	0.06574	0.51775	0.00608
92	0.05636	0.03120	0.01017	0.06573	0.51784	0.00621
93	0.05613	0.03125	0.01035	0.06560	0.51802	0.00646
94	0.05593	0.03139	0.01058	0.06561	0.51806	0.00666
95	0.05592	0.03150	0.01070	0.06576	0.51788	0.00671
96	0.05614	0.03159	0.01067	0.06587	0.51755	0.00670
97	0.05641	0.03165	0.01057	0.06580	0.51725	0.00682
98	0.05654	0.03159	0.01052	0.06556	0.51721	0.00708
99	0.05648	0.03135	0.01060	0.06520	0.51751	0.00728
100	0.05633	0.03109	0.01081	0.06484	0.51797	0.00727
101	0.05624	0.03102	0.01100	0.06477	0.51821	0.00707
102	0.05628	0.03113	0.01105	0.06510	0.51813	0.00679
103	0.05642	0.03124	0.01096	0.06551	0.51792	0.00651
104	0.05660	0.03119	0.01088	0.06567	0.51780	0.00634
105	0.05676	0.03104	0.01094	0.06567	0.51778	0.00633
106	0.05685	0.03097	0.01111	0.06576	0.51785	0.00648
107	0.05686	0.03099	0.01123	0.06592	0.51799	0.00668
108	0.05687	0.03096	0.01125	0.06602	0.51812	0.00679
109	0.05690	0.03083	0.01124	0.06599	0.51815	0.00677
110	0.05698	0.03066	0.01131	0.06581	0.51809	0.00673
111	0.05708	0.03060	0.01144	0.06557	0.51804	0.00679
112	0.05716	0.03068	0.01151	0.06541	0.51804	0.00690
113	0.05718	0.03079	0.01141	0.06546	0.51808	0.00692
114	0.05714	0.03088	0.01120	0.06572	0.51803	0.00673
115	0.05707	0.03090	0.01106	0.06612	0.51782	0.00642
116	0.05702	0.03084	0.01103	0.06643	0.51758	0.00619
117	0.05694	0.03073	0.01107	0.06645	0.51749	0.00609
118	0.05676	0.03066	0.01115	0.06630	0.51755	0.00601
119	0.05653	0.03072	0.01126	0.06624	0.51763	0.00591
120	0.05634	0.03086	0.01137	0.06620	0.51772	0.00582
121	0.05625	0.03103	0.01141	0.06602	0.51785	0.00578
122	0.05623	0.03119	0.01137	0.06571	0.51796	0.00581
123	0.05625	0.03127	0.01133	0.06539	0.51804	0.00592
124	0.05633	0.03116	0.01134	0.06513	0.51815	0.00604
125	0.05643	0.03088	0.01136	0.06497	0.51821	0.00604
126	0.05642	0.03057	0.01142	0.06487	0.51814	0.00591
127	0.05628	0.03041	0.01151	0.06475	0.51794	0.00573
128	0.05617	0.03037	0.01159	0.06469	0.51770	0.00567
129	0.05623	0.03028	0.01169	0.06474	0.51759	0.00582
130	0.05641	0.03011	0.01191	0.06499	0.51768	0.00616
131	0.05663	0.02999	0.01221	0.06537	0.51789	0.00647
132	0.05682	0.03000	0.01244	0.06568	0.51809	0.00660
133	0.05700	0.03001	0.01247	0.06580	0.51820	0.00659
