	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d	C:\Users\Paul Meinheit\Desktop\raw Data\paul\N4_finishedFinal\FinishedRoundN4.c3d
7	-3.40562	-1.72600	-25.80520	-0.86478	5.37721	-70.57222	-0.59228	-3.08187	-25.68717	-0.00135	2.93112	-70.63478	-0.59227	-3.08187	-25.68717	-0.00135	2.93112	-70.63478	7.49766	2.25815	-35.66978	-14.71572	8.76164	-60.06641	21.96700	-5.15442	-35.64891	-10.03639	3.65839	-60.66306	-10.51959	8.31283	-48.38515	-8.70190	4.86842	-43.85811	-8.90588	1.72113	-32.75446	-28.11761	13.50468	-30.17197	6.86916	7.83441	-69.12543	-12.79480	-12.41382	-12.10928	17.93028	-20.44487	-162.75493	20.04239	-16.91301	88.50195	22.16195	-11.78895	-161.17603	7.44132	-21.29852	83.83340
8	-3.64833	-1.65374	-25.83592	-1.10684	5.25462	-70.55070	-0.61443	-3.11772	-25.70959	-0.21948	2.74329	-70.61259	-0.61442	-3.11772	-25.70959	-0.21948	2.74329	-70.61259	7.38840	2.25281	-35.72808	-14.69646	8.77870	-59.96772	22.06975	-5.15192	-35.72698	-10.05879	3.66168	-60.55734	-10.53737	8.31416	-48.38298	-8.66706	4.82234	-43.84830	-8.97010	1.65192	-32.83419	-28.16067	13.46553	-30.27277	6.85845	7.79825	-69.09868	-12.84760	-12.38261	-12.31950	17.89434	-20.38067	-162.88863	20.16776	-17.00889	88.54994	22.39423	-11.61211	-161.22481	7.43365	-21.23092	83.84531
9	-3.96825	-1.66148	-25.84987	-1.23044	5.21701	-70.50325	-0.64617	-3.26492	-25.70704	-0.31803	2.64130	-70.56579	-0.64616	-3.26492	-25.70704	-0.31803	2.64130	-70.56579	7.23844	2.24991	-35.94086	-14.68793	8.78284	-59.75109	22.20724	-5.15522	-35.97124	-10.06605	3.65689	-60.33646	-10.54905	8.25544	-48.39891	-8.63243	4.77771	-43.84620	-9.07345	1.56708	-32.92093	-28.24022	13.41389	-30.38563	6.89527	7.68702	-69.06335	-12.88524	-12.42558	-12.48050	17.87421	-20.29297	-162.90465	20.31487	-17.14203	88.19106	22.46298	-11.41555	-161.21535	7.16120	-20.98199	83.37469
10	-4.00003	-1.65483	-25.85058	-1.14420	5.13544	-70.49561	-0.61914	-3.28660	-25.70478	-0.27596	2.68564	-70.55485	-0.61913	-3.28660	-25.70478	-0.27596	2.68564	-70.55485	7.06540	2.23717	-36.07762	-14.71078	8.78549	-59.64283	22.35245	-5.16369	-36.13799	-10.05990	3.63718	-60.23122	-10.55113	8.19029	-48.43193	-8.59951	4.73243	-43.88975	-9.19015	1.44728	-33.02843	-28.32626	13.33598	-30.53038	6.92847	7.54523	-68.88958	-12.87584	-12.48915	-12.68369	17.92961	-20.23115	-162.66138	20.44340	-17.31217	87.68698	22.31598	-11.35807	-161.04039	6.68447	-20.49889	82.73917
11	-3.71831	-1.55251	-25.85463	-0.90461	5.01273	-70.57676	-0.50623	-3.10372	-25.72410	-0.13740	2.83869	-70.62930	-0.50623	-3.10372	-25.72410	-0.13740	2.83869	-70.62930	6.89939	2.20744	-35.98016	-14.78098	8.80496	-59.72504	22.46696	-5.16951	-36.05790	-10.04192	3.58923	-60.32637	-10.54901	8.16130	-48.47133	-8.57025	4.68685	-43.97968	-9.27086	1.27742	-33.14865	-28.36992	13.21485	-30.70420	6.92505	7.46495	-68.66637	-12.83428	-12.51707	-12.97762	18.03392	-20.25155	-162.33638	20.51068	-17.49606	87.15883	22.09293	-11.39449	-160.81712	6.37821	-19.95029	82.18156
12	-3.48307	-1.39636	-25.85765	-0.72679	5.00714	-70.71196	-0.36574	-2.90263	-25.74069	-0.01051	2.96238	-70.76173	-0.36574	-2.90263	-25.74069	-0.01051	2.96238	-70.76173	6.75875	2.17290	-35.73891	-14.87577	8.83925	-59.86789	22.53667	-5.16848	-35.82356	-10.01774	3.52119	-60.48687	-10.55647	8.17072	-48.51083	-8.54107	4.64418	-44.08181	-9.25818	1.09198	-33.23442	-28.32594	13.06763	-30.84968	6.92127	7.47661	-68.65758	-12.79855	-12.52506	-13.22874	18.08639	-20.35760	-162.23206	20.50212	-17.63526	86.64597	22.00230	-11.40127	-160.74640	6.55436	-19.65975	81.78846
13	-3.61008	-1.28922	-25.82546	-0.79236	5.24422	-70.81741	-0.27465	-2.89852	-25.70354	0.00376	2.95784	-70.87434	-0.27464	-2.89852	-25.70354	0.00376	2.95784	-70.87434	6.63514	2.15995	-35.56536	-14.95190	8.86646	-59.90773	22.57901	-5.17277	-35.65573	-9.99751	3.45831	-60.53998	-10.57838	8.18629	-48.55866	-8.50001	4.60786	-44.15237	-9.14231	0.96804	-33.24844	-28.19791	12.95506	-30.90482	6.94822	7.54387	-68.96767	-12.77706	-12.56940	-13.27827	18.02598	-20.51031	-162.43431	20.44992	-17.69298	86.24668	22.14434	-11.37204	-160.86684	6.99488	-19.71815	81.54750
14	-4.08319	-1.30516	-25.75475	-1.03093	5.67234	-70.84632	-0.27344	-3.13648	-25.60705	-0.05645	2.86844	-70.91891	-0.27344	-3.13648	-25.60705	-0.05645	2.86844	-70.91891	6.50984	2.19329	-35.61279	-15.00100	8.87516	-59.79817	22.61692	-5.20651	-35.71304	-9.99043	3.40472	-60.43596	-10.60114	8.17895	-48.63448	-8.43178	4.57208	-44.17822	-9.00320	0.95005	-33.20258	-28.06663	12.92308	-30.86638	6.97592	7.63192	-69.39619	-12.74916	-12.67334	-13.14357	17.90710	-20.67289	-162.76443	20.41023	-17.70074	86.15810	22.44044	-11.40232	-161.04823	7.22080	-19.95357	81.50243
15	-4.52654	-1.39549	-25.71584	-1.17575	6.01433	-70.82376	-0.33063	-3.40758	-25.53992	-0.06359	2.81766	-70.90943	-0.33063	-3.40758	-25.53992	-0.06359	2.81766	-70.90943	6.37849	2.27096	-35.80035	-15.05487	8.87797	-59.68951	22.66484	-5.27600	-35.91105	-9.99724	3.34364	-60.33069	-10.60635	8.15746	-48.73676	-8.33877	4.53293	-44.18189	-8.94582	0.97780	-33.13139	-28.02558	12.92606	-30.78806	6.96654	7.71476	-69.66535	-12.72234	-12.81456	-12.93112	17.83269	-20.82033	-162.94954	20.42017	-17.70153	86.34743	22.71908	-11.52781	-161.10805	7.11140	-20.26499	81.58291
16	-4.47056	-1.40328	-25.77047	-1.06844	5.96623	-70.81120	-0.36205	-3.37845	-25.59898	0.01525	2.85377	-70.89456	-0.36205	-3.37845	-25.59898	0.01525	2.85377	-70.89456	6.25639	2.35643	-35.81472	-15.13466	8.89654	-59.81043	22.72395	-5.36094	-35.92397	-10.01349	3.26716	-60.45897	-10.57421	8.15395	-48.81586	-8.25392	4.51151	-44.18439	-8.97320	0.94568	-33.05360	-28.06608	12.87027	-30.72343	6.93146	7.75007	-69.70010	-12.73446	-12.94678	-12.69577	17.83635	-20.93117	-162.87131	20.45535	-17.68725	86.49355	22.89874	-11.68153	-160.96570	6.97043	-20.69851	81.57326
